Type,ID,practicetrials.thisRepN,practicetrials.thisTrialN,practicetrials.thisN,practicetrials.thisIndex,key_resp_12.keys,key_resp_12.rt,Atests1.keys,Atests1.rt,Atests2.keys,Atests2.rt,Atests3.keys,Atests3.rt,Atests4.keys,Atests4.rt,Atests5.keys,Atests5.rt,Atests6.keys,Atests6.rt,key_resp_8.keys,key_resp_8.corr,key_resp_8.rt,expName,participant,version,Gender,frameRate
3,30,0,7,7,11,space,0.317270459,space,0.333721221,space,0.600557832,space,0.53380822,space,0.516813125,space,0.400590437,space,0.40062991,j,1,1.966978477,SPR,4,B,M,59.8938479
3,48,0,8,8,7,space,0.300572595,space,0.617282932,space,0.617230038,space,0.517022726,space,0.450545872,space,0.550305955,space,0.45051982,j,1,1.800685093,SPR,4,B,M,59.8938479
1,19,0,9,9,1,space,0.383956125,space,0.666789559,space,0.633832377,space,0.73375351,space,0.682590991,space,0.985057895,space,1.617320431,f,1,4.867331681,SPR,4,B,M,59.8938479
3,29,0,10,10,10,space,0.450520215,space,1.366944451,space,0.667137316,space,0.81718046,space,0.667313366,space,0.517218907,space,0.617214249,f,1,2.800437992,SPR,4,B,M,59.8938479
3,28,0,11,11,9,space,0.40079767,space,0.567183026,space,0.433973138,space,0.46711308,space,0.500538017,space,0.567235525,space,0.450513109,j,1,1.733881797,SPR,4,B,M,59.8938479
1,26,0,0,0,0,space,1.250795973,space,0.767260551,space,0.750436374,space,0.617188592,space,0.667127448,space,0.917240143,space,0.683815838,j,1,6.350586845,SPR,4,B,M,59.8938479
1,30,0,1,1,1,space,0.567123817,space,0.867335629,space,0.800453387,space,0.717249459,space,0.650152879,space,0.883837311,space,0.967267814,j,1,2.117296353,SPR,4,B,M,59.8938479
3,55,0,2,2,10,space,0.36712208,space,0.600452045,space,0.550446874,space,0.483836206,space,0.466697035,space,0.417068831,space,0.467190052,f,1,1.300468387,SPR,4,B,M,59.8938479
3,60,0,3,3,11,space,0.300132471,space,0.417156066,space,0.467175052,space,0.433786036,space,0.400559648,space,0.383909547,space,0.417124488,j,1,1.433755642,SPR,4,B,M,59.8938479
3,39,0,4,4,6,space,0.350166852,space,0.583811022,space,0.450478373,space,0.567103685,space,0.583849311,space,0.917088962,space,0.517162855,f,1,1.133723432,SPR,4,B,M,59.8938479
3,20,0,5,5,9,space,0.450425479,space,0.500578674,space,0.600559411,space,0.566907505,space,0.467182552,space,0.483835022,space,0.600510859,j,1,2.683792549,SPR,4,B,M,59.8938479
2,63,0,6,6,5,space,0.300534701,space,0.450532846,space,0.483820022,space,0.65050182,space,0.650518004,space,0.917204618,space,1.783985256,f,1,11.0638523,SPR,4,B,M,59.8938479
3,16,0,7,7,8,space,0.350537109,space,0.500246311,space,0.533852035,space,0.550335955,space,0.467293471,space,0.450474821,space,0.467058212,j,1,2.584022598,SPR,4,B,M,59.8938479
2,57,0,8,8,3,space,0.300574174,space,0.466839927,space,0.550523057,space,0.500531701,space,0.967321497,space,0.58379168,space,2.733968243,f,1,4.434147214,SPR,4,B,M,59.8938479
2,62,0,9,9,4,space,0.383808891,space,0.517145882,space,0.667090738,space,0.617101356,space,1.400483465,space,0.617283327,space,1.983842916,j,1,7.317303616,SPR,4,B,M,59.8938479
1,32,0,10,10,2,space,0.333920955,space,0.433788799,space,0.533842956,space,0.533795194,space,0.567179079,space,3.050531346,space,0.78384868,j,1,4.850561187,SPR,4,B,M,59.8938479
3,40,0,11,11,7,space,0.283742102,space,0.467102817,space,0.467110711,space,0.500434598,space,0.333813983,space,0.367184052,space,0.350109616,j,1,1.600403098,SPR,4,B,M,59.8938479
