1,1,1
1,2,1
1,3,4
2,1,1
2,2,2
2,3,1
3,1,6
3,2,7
3,3,5
4,1,2
4,2,2
5,3,1
6,1,2
7,1,2
7,2,4
8,2,1
9,2,4
10,1,2
11,1,4
11,2,4
12,1,3
12,2,4
12,3,1
13,1,2
13,2,3
14,1,3
14,2,4
15,1,3
15,2,1
16,1,6
17,2,1
18,1,2
19,1,1
19,2,1
20,1,2
20,2,1
21,2,1
21,3,1
22,2,2
23,1,3
23,2,1
23,3,1
24,1,3
24,3,1
25,1,2
25,2,1
25,3,6
26,1,2
26,2,1
27,1,1
27,2,5
27,3,2
28,1,5
28,2,4
29,1,2
30,1,1
30,2,3
31,1,2
31,2,3
31,3,1
32,1,3
33,1,3
33,2,4
34,1,8
34,2,2
34,3,1
35,1,3
35,2,1
35,3,2
36,2,1
37,1,1
37,2,3
38,1,3
38,2,2
39,2,1
40,2,2
41,1,1
41,3,2
42,1,3
42,2,1
42,3,6
43,1,2
43,2,3
43,3,2
45,1,2
45,2,6
45,3,1
46,2,1
