Sentences,Question,word5,word4,word6,word1,word3,Ans,word2,lenth,Type,ID,practicetrials.thisRepN,practicetrials.thisTrialN,practicetrials.thisN,practicetrials.thisIndex,key_resp_12.keys,key_resp_12.rt,Atests1.keys,Atests1.rt,Atests2.keys,Atests2.rt,Atests3.keys,Atests3.rt,Atests4.keys,Atests4.rt,Atests5.keys,Atests5.rt,Atests6.keys,Atests6.rt,key_resp_8.keys,key_resp_8.corr,key_resp_8.rt,expName,participant,version,Grade,Gender,frameRate,session,date,
外婆檢舉救治嬸嬸的鄰居,鄰居沒救嬸嬸？,的,嬸嬸,鄰居,外婆,救治,j,檢舉,11,1,38,0,0,0,13,space,0.810477314924,space,0.710678589181,space,0.600679966796,space,0.747840317956,space,0.756825226883,space,0.941259016166,space,2.11071940453,j,1,2.74212300748,SPR,46,B,,m,50.006000661,001,2017_01_23_1501,
手機是個既方便又重要的發明,手機讓人不方便?,的,又重要,發明,手機,既方便,j,是個,13,3,36,0,1,1,19,space,0.667157319607,space,2.81130980648,space,0.864034667029,space,0.824178097188,space,1.33660369494,space,1.73789028713,space,1.34401046199,j,1,1.19011202123,SPR,46,B,,m,50.006000661,001,2017_01_23_1501,
村民擔心襲擊刺客的鐵匠,鐵匠襲擊了刺客？,的,刺客,鐵匠,村民,襲擊,f,擔心,11,1,39,0,2,2,14,space,0.450312411296,space,0.590597305796,space,0.487101906969,space,0.516306611127,space,0.530642518483,space,0.573788397131,space,0.653636140807,f,1,1.07138151367,SPR,46,B,,m,50.006000661,001,2017_01_23_1501,
名嘴毀謗徐總賞識的詩人,名嘴稱讚詩人？,的,賞識,詩人,名嘴,徐總,j,毀謗,11,2,8,0,3,3,7,space,0.411092545546,space,0.540275578795,space,0.623339605634,space,0.596883031598,space,0.527047291747,space,0.5205685416,space,0.513633085531,j,1,1.26452981989,SPR,46,B,,m,50.006000661,001,2017_01_23_1501,
善待動物們是對生命的尊重,應該善待動物?,的,生命,尊重,善待,是對,f,動物們,12,3,35,0,4,4,18,space,0.416890381486,space,0.384936363145,space,0.520739066182,space,0.44710757531,space,0.494141967269,space,0.441703682765,space,0.420654159156,f,1,1.07518555404,SPR,46,B,,m,50.006000661,001,2017_01_23_1501,
證人揭發指使搶匪的殺手,證人揭發殺手？,的,搶匪,殺手,證人,指使,f,揭發,11,1,35,0,5,5,10,space,0.430525638105,space,0.464999236225,space,0.501122028101,space,0.453870138444,space,0.610195396759,space,0.753666574717,space,1.80048307404,f,1,3.21183693275,SPR,46,B,,m,50.006000661,001,2017_01_23_1501,
阿姨親手製作了一個生日蛋糕,阿姨沒做蛋糕?,生日,一個,蛋糕,阿姨,製作了,j,親手,13,3,38,0,6,6,21,space,0.477371347661,space,0.506462763471,space,0.630629531806,space,0.63715170254,space,0.620520423632,space,0.71415618551,space,0.556911989173,j,1,0.929995709273,SPR,46,B,,m,50.006000661,001,2017_01_23_1501,
每年都會頒布新的法規制度,年年都沒新制度?,法規,的,制度,每年,新,j,都會頒布,12,3,34,0,7,7,17,space,0.333647935418,space,0.428156451555,space,0.534667609318,space,0.510165357555,space,0.50407502451,space,0.520212887321,space,0.473538097052,j,1,1.19061964768,SPR,46,B,,m,50.006000661,001,2017_01_23_1501,
和朋友們一起喝下午茶很開心,喝下午茶很開心?,下午茶,喝,很開心,和,一起,f,朋友們,13,3,39,0,8,8,22,space,0.403959328309,space,0.541864378494,space,0.420665211685,space,0.487589796772,space,0.376896839356,space,0.413969358488,space,0.383542561496,f,1,1.00063157256,SPR,46,B,,m,50.006000661,001,2017_01_23_1501,
小李暗戀招待船長的賓客,賓客招待過船長？,的,船長,賓客,小李,招待,f,暗戀,11,1,37,0,9,9,12,space,0.433874551498,space,0.433831130911,space,0.53735100315,space,0.589885997178,space,0.48072302423,space,0.470433917944,space,0.821042734198,f,1,3.674768953,SPR,46,B,,m,50.006000661,001,2017_01_23_1501,
聽說吃黑巧克力可以提高智商,吃巧克力沒有益處?,提高,可以,智商,聽說,黑巧克力,j,吃,13,3,40,0,10,10,23,space,0.47699714097,space,0.580338593922,space,0.533663014183,space,0.614221671713,space,0.599633530073,space,0.903953604691,space,0.500513350067,j,1,1.50195886171,SPR,46,B,,m,50.006000661,001,2017_01_23_1501,
老師調查弟弟傷害的同學,同學調查老師？,的,傷害,同學,老師,弟弟,j,調查,11,2,4,0,11,11,3,space,0.410929915612,space,0.477392663306,space,0.571067898418,space,0.452774754725,space,0.478246470389,space,0.456518006336,space,0.470705494168,j,1,1.62060173869,SPR,46,B,,m,50.006000661,001,2017_01_23_1501,
助教嫌棄愛慕局長的學生,助教嫌棄學生？,的,局長,學生,助教,愛慕,f,嫌棄,11,1,33,0,12,12,8,space,0.423992020078,space,0.437047019368,space,0.5011500541,space,0.451155165967,space,0.357196907338,space,0.480754602875,space,1.46725552913,f,1,1.36393933906,SPR,46,B,,m,50.006000661,001,2017_01_23_1501,
爺爺一句話就把大家逗開心了,爺爺逗大家開心?,逗,大家,開心了,爺爺,就把,f,一句話,12,3,33,0,13,13,16,space,0.497357460961,space,0.457341024303,space,0.471006675332,space,0.470847203222,space,0.450124913186,space,0.437942273507,space,0.500199142727,f,1,0.841422001366,SPR,46,B,,m,50.006000661,001,2017_01_23_1501,
校長相信房東厭惡的小孩,小孩相信校長？,的,厭惡,小孩,校長,房東,j,相信,11,2,2,0,14,14,1,space,0.531003304292,space,0.5602636658,space,0.423739785794,space,0.420043507474,space,0.446940603375,space,0.438393847842,space,0.560425506206,j,1,1.43048261222,SPR,46,B,,m,50.006000661,001,2017_01_23_1501,
小劉愛慕領隊欽佩的組長,小劉討厭組長？,的,欽佩,組長,小劉,領隊,j,愛慕,11,2,6,0,15,15,5,space,0.507125914621,space,0.450038071955,space,0.524885339953,space,0.450391357881,space,0.539212957956,space,0.543838437414,space,1.68706132844,j,1,1.62152541347,SPR,46,B,,m,50.006000661,001,2017_01_23_1501,
商人質疑賄賂小陳的企劃員,商人質疑小陳？,的,小陳,企劃員,商人,賄賂,j,質疑,12,1,36,0,16,16,11,space,0.460664280166,space,0.520428806194,space,0.580648459261,space,0.597204344114,space,0.590647436853,space,0.430381165876,space,1.14157724986,j,1,1.81328149704,SPR,46,B,,m,50.006000661,001,2017_01_23_1501,
村民援助小潘舉薦的水手,村民援助水手？,的,舉薦,水手,村民,小潘,f,援助,11,2,7,0,17,17,6,space,0.484075490269,space,0.502668591391,space,0.4769624045,space,0.399953974178,space,0.511099295458,space,0.771293764526,space,0.463647276163,j,0,12.4618453208,SPR,46,B,,m,50.006000661,001,2017_01_23_1501,
粉絲大罵小周羞辱的導演,粉絲大罵導演？,的,羞辱,導演,粉絲,小周,f,大罵,11,2,5,0,18,18,4,space,0.466625535511,space,0.820351951697,space,0.547077220399,space,1.23145949707,space,0.800345312338,space,0.714002239751,space,0.750130952569,f,1,1.91049432789,SPR,46,B,,m,50.006000661,001,2017_01_23_1501,
王董賞識工人表揚的廠長,王董賞識廠長？,的,表揚,廠長,王董,工人,f,賞識,11,2,3,0,19,19,2,space,0.396859663364,space,0.507611041307,space,0.443688794214,space,0.63720064942,space,0.790173441696,space,0.681956643355,space,2.47069246799,f,1,1.16035429644,SPR,46,B,,m,50.006000661,001,2017_01_23_1501,
強盜綁架誣陷主人的管家,強盜綁架主人？,的,主人,管家,強盜,誣陷,j,綁架,11,1,34,0,20,20,9,space,0.861148380442,space,0.507304728613,space,0.433878893557,space,0.469527216686,space,0.487471771718,space,0.500623480533,space,1.37959720672,j,1,1.2181127902,SPR,46,B,,m,50.006000661,001,2017_01_23_1501,
小紅取笑小張崇拜的作家,小紅取笑作家？,的,崇拜,作家,小紅,小張,f,取笑,11,2,1,0,21,21,0,space,0.457249841013,space,0.433779815678,space,0.507100651739,space,0.490804106346,space,0.577198099461,space,0.480894732988,space,2.54967929929,f,1,2.84548814443,SPR,46,B,,m,50.006000661,001,2017_01_23_1501,
敵人搜查掩護戰士的村民,村民沒掩護戰士？,的,戰士,村民,敵人,掩護,j,搜查,11,1,40,0,22,22,15,space,0.563916918181,space,0.463546224579,space,0.420401924872,space,0.466417511285,space,0.433877314674,space,0.620116611943,space,1.12344045984,j,1,1.92743073526,SPR,46,B,,m,50.006000661,001,2017_01_23_1501,
留學的生活能夠磨礪人的意志,留學能鍛鍊人?,人的,磨礪,意志,留學的,能夠,f,生活,13,3,37,0,23,23,20,space,0.520101177914,space,0.587177735171,space,0.516940157337,space,0.437288201181,space,0.510203251848,space,0.360407664324,space,0.432808772835,f,1,1.13414877246,SPR,46,B,,m,50.006000661,001,2017_01_23_1501,
週六有場精彩的戲劇要公演了,週六沒有戲劇?,戲劇,的,要公演了,週六,精彩,j,有場,13,3,54,0,0,0,21,space,0.540645048721,space,0.850055203366,space,0.640185224474,space,0.511213767983,space,0.500655059121,space,0.508349191688,space,0.557029619522,j,1,0.97698233847,SPR,46,B,,m,50.006000661,001,2017_01_23_1501,
贊助商支持拉攏貴族的青年,青年排斥貴族？,的,貴族,青年,贊助商,拉攏,j,支持,12,1,54,0,1,1,13,space,0.380692985083,space,0.3896474996,space,0.41704195895,space,0.388952769863,space,0.470464707178,space,1.28344107571,space,0.991447323526,j,1,3.49466696189,SPR,46,B,,m,50.006000661,001,2017_01_23_1501,
青年佩服督促小謝的技術員,青年佩服小謝？,的,小謝,技術員,青年,督促,j,佩服,12,1,50,0,2,2,9,space,0.543763832888,space,0.514233868977,space,0.540697153483,space,0.382297574077,space,0.520360912138,space,0.473712963692,None,,j,1,6.63127689366,SPR,46,B,,m,50.006000661,001,2017_01_23_1501,
偵探跟蹤老婆迷戀的編輯,偵探跟蹤編輯？,的,迷戀,編輯,偵探,老婆,f,跟蹤,11,2,17,0,3,3,0,space,0.556677912595,space,0.817592374398,space,0.646167400701,space,0.914200079802,space,0.6152625822,space,0.617181773297,space,1.26742202742,f,1,1.22709414654,SPR,46,B,,m,50.006000661,001,2017_01_23_1501,
科學家協助表姐熟識的院士,科學家排斥院士？,的,熟識,院士,科學家 ,表姐,j,協助,12,2,24,0,4,4,7,space,0.577319282456,space,0.588407327945,space,0.621181206428,space,0.611084335076,space,0.769978909404,space,0.774617809744,space,1.01129251713,j,1,0.866426353285,SPR,46,B,,m,50.006000661,001,2017_01_23_1501,
親近大自然的最好方式是旅遊,旅遊能親近自然?,是,最好方式,旅遊,親近,的,f,大自然,13,3,55,0,5,5,22,space,0.453525536694,space,0.59030638769,space,0.387635546329,space,0.393809562724,space,0.406988902891,space,0.343632307951,space,0.569740411884,f,1,1.24013019871,SPR,46,B,,m,50.006000661,001,2017_01_23_1501,
博物館裡有很多珍貴的收藏品,有很多收藏品?,的,珍貴,收藏品,博物館裡,很多,j,有,13,3,56,0,6,6,23,space,0.374674098683,space,0.550216925389,space,0.417935239326,space,0.339510507591,space,0.483380365709,space,0.393691142846,space,0.540235316032,f,0,3.47446019296,SPR,46,B,,m,50.006000661,001,2017_01_23_1501,
桌子上擺滿了一大堆舊的文件,桌上沒有文件?,的,舊,文件,桌子上,一大堆,j,擺滿了,12,3,52,0,7,7,19,space,0.493600788526,space,0.693670735229,space,0.551679410622,space,0.598112229665,space,0.530166865385,space,0.407124296238,space,0.815715025004,j,1,2.02687735925,SPR,46,B,,m,50.006000661,001,2017_01_23_1501,
妹妹迷戀表哥結識的中醫師,中醫師迷戀妹妹？,的,結識,中醫師,妹妹,表哥,j,迷戀,12,2,20,0,8,8,3,space,0.362907902105,space,0.400097656879,space,0.437360437296,space,0.576444554434,space,0.407436135167,space,0.500640059297,space,0.967086780875,j,1,0.964661936974,SPR,46,B,,m,50.006000661,001,2017_01_23_1501,
老闆責罵雇主同情的技工,技工責罵老闆？,的,同情,技工,老闆,雇主,j,責罵,11,2,18,0,9,9,1,space,0.450235043711,space,0.540532549843,space,0.557841979724,space,0.540529786726,space,0.453890664561,space,0.524819024897,space,0.757008382934,j,1,1.34782831807,SPR,46,B,,m,50.006000661,001,2017_01_23_1501,
每個人的相處方式都不一樣,相處方式都一樣?,都,方式,不一樣,每個人,相處,j,的,12,3,50,0,10,10,17,space,0.427113567421,space,0.52127037663,space,0.373317796679,space,0.44556930149,space,0.384009530419,space,0.460528886761,space,0.406942324364,j,1,1.80346370174,SPR,46,B,,m,50.006000661,001,2017_01_23_1501,
