Sentences,Question,word5,word4,word6,word1,word3,Ans,word2,lenth,Type,ID,practicetrials.thisRepN,practicetrials.thisTrialN,practicetrials.thisN,practicetrials.thisIndex,key_resp_12.keys,key_resp_12.rt,Atests1.keys,Atests1.rt,Atests2.keys,Atests2.rt,Atests3.keys,Atests3.rt,Atests4.keys,Atests4.rt,Atests5.keys,Atests5.rt,Atests6.keys,Atests6.rt,key_resp_8.keys,key_resp_8.corr,key_resp_8.rt,expName,participant,version,Grade,Gender,frameRate,session,date,
週六有場精彩的戲劇要公演了,週六沒有戲劇?,戲劇,的,要公演了,週六,精彩,j,有場,13,3,54,0,0,0,21,space,0.833943454156,space,0.45047955733,space,0.433938796341,space,0.533252440029,space,0.367401548443,space,0.400159391924,space,0.683771628232,f,0,0.767096343305,SPR,26,B,,m,59.9922800749,001,2017_01_16_0934,
每週都有寫不完的作業和報告,每週都有作業?,作業和,的,報告,每週,寫不完,f,都有,13,3,53,0,1,1,20,space,0.433789588453,space,0.883967177433,space,0.550437794911,space,0.550389637865,space,0.483956203927,space,0.617064251768,space,0.53354098757,f,1,1.13370251104,SPR,26,B,,m,59.9922800749,001,2017_01_16_0934,
親近大自然的最好方式是旅遊,旅遊能親近自然?,是,最好方式,旅遊,親近,的,f,大自然,13,3,55,0,2,2,22,space,0.400613726029,space,0.783877100068,space,0.783792627873,space,0.567059475521,space,0.617369377956,space,0.433705116258,space,0.583925099214,f,1,0.967045186306,SPR,26,B,,m,59.9922800749,001,2017_01_16_0934,
刑警緝拿輕視政府的逃亡者,逃亡者重視政府？,的,政府,逃亡者,刑警,輕視,j,緝拿,12,1,56,0,3,3,15,space,0.417220406904,space,0.333718852853,space,0.300383519556,space,0.333776483414,space,0.350066590923,space,0.350533951118,space,0.300386677394,j,1,2.21715590803,SPR,26,B,,m,59.9922800749,001,2017_01_16_0934,
校園門口的那棵樹長滿了新葉,樹長滿了新葉?,長滿了,樹,新葉,校園門口,那棵,f,的,13,3,49,0,4,4,16,space,0.33362135457,space,0.25039492725,space,0.317159539554,space,0.267022134081,space,0.317110593052,space,0.333722800147,space,0.383969940522,f,1,0.500363940955,SPR,26,B,,m,59.9922800749,001,2017_01_16_0934,
妹妹迷戀表哥結識的中醫師,中醫師迷戀妹妹？,的,結識,中醫師,妹妹,表哥,j,迷戀,12,2,20,0,5,5,3,space,0.299823003123,space,0.234212975716,space,0.283780785976,space,0.267052133553,space,0.267090817084,space,0.333770167737,space,0.30119942622,j,1,1.25036374359,SPR,26,B,,m,59.9922800749,001,2017_01_16_0934,
外婆批評農夫辱罵的木匠,外婆批評木匠？,的,辱罵,木匠,外婆,農夫,f,批評,11,2,19,0,6,6,2,space,0.300334573054,space,0.300620752212,space,0.267006739625,space,0.283674998369,space,0.250524398652,space,0.300386282659,space,0.85038513795,f,1,1.53366493275,SPR,26,B,,m,59.9922800749,001,2017_01_16_0934,
每個人的相處方式都不一樣,相處方式都一樣?,都,方式,不一樣,每個人,相處,j,的,12,3,50,0,7,7,17,space,0.333577144818,space,0.30044391322,space,0.333704247852,space,0.316930990957,space,0.300398519292,space,0.417158434313,space,0.567090659199,j,1,0.917148566063,SPR,26,B,,m,59.9922800749,001,2017_01_16_0934,
博物館裡有很多珍貴的收藏品,有很多收藏品?,的,珍貴,收藏品,博物館裡,很多,j,有,13,3,56,0,8,8,23,space,0.300548911371,space,0.300449834176,space,0.567237498704,space,0.350372506582,space,0.333620565114,space,0.333780035988,space,0.417066462251,f,0,0.983673577328,SPR,26,B,,m,59.9922800749,001,2017_01_16_0934,
小張欽佩袒護隊長的消防員,校長欽佩隊長？,的,隊長,消防員,小張,袒護,j,欽佩,12,1,52,0,9,9,11,space,0.350436847555,space,1.53381927212,space,0.417044752103,space,0.517073646333,space,0.517044041582,space,0.367057343989,space,0.817056515065,j,1,1.467051502,SPR,26,B,,m,59.9922800749,001,2017_01_16_0934,
