Sentences,Question,word5,word4,word6,word1,word3,Ans,word2,lenth,Type,ID,practicetrials.thisRepN,practicetrials.thisTrialN,practicetrials.thisN,practicetrials.thisIndex,key_resp_12.keys,Atests1.keys,Atests1.rt,Atests2.keys,Atests2.rt,Atests3.keys,Atests3.rt,Atests4.keys,Atests4.rt,Atests5.keys,Atests5.rt,Atests6.keys,Atests6.rt,key_resp_8.keys,key_resp_8.corr,key_resp_8.rt,key_resp_12.rt,expName,participant,version,Grade,Gender,frameRate,session,date,
老闆責罵同情雇主的技工,技工責罵老闆？,的,雇主,技工,老闆,同情,j,責罵,11,1,18,0,17,17,1,space,space,0.540549918112,space,0.433441134872,space,0.583827242803,space,0.533968142692,space,0.480266713086,None,,j,1,2.16700593955,0.450264253901,SPR,39,A,,f,50.0085671705,001,2017_01_20_1109,
妹妹迷戀結識表哥的中醫師,中醫師迷戀妹妹？,的,表哥,中醫師,妹妹,結識,j,迷戀,12,1,20,0,18,18,3,space,space,0.517077129613,space,0.370553877283,space,0.437522277736,space,0.510269961738,space,0.781614054698,space,1.56702464988,j,1,1.87066933664,0.416869460663,SPR,39,A,,f,50.0085671705,001,2017_01_20_1109,
雨後有時會見到漂亮的彩虹,雨後可能現彩虹？,的,漂亮,彩虹,雨後,會見到,f,有時,12,3,21,0,19,19,20,space,space,0.500334536084,space,0.433759684278,space,0.367131938268,space,0.483764046074,space,0.383307695436,space,0.530623966046,f,1,1.74392812073,0.417098800448,SPR,39,A,,f,50.0085671705,001,2017_01_20_1109,
鄰居告發砍傷表弟的疑犯,鄰居告發疑犯？,的,表弟,疑犯,鄰居,砍傷,f,告發,11,1,21,0,20,20,4,space,space,0.350430791688,space,0.387127919888,space,0.433805078554,space,0.50039927227,space,0.417096432049,space,0.551061258986,f,1,1.30716373005,0.373911869578,SPR,39,A,,f,50.0085671705,001,2017_01_20_1109,
哥哥的體育特長是打羽毛球,哥哥不會打羽毛球？,是,特長,打羽毛球,哥哥,體育,j,的,12,3,18,0,21,21,17,space,space,0.420334820292,space,0.450447409941,space,0.400576467844,space,0.370547166825,space,0.442410649261,space,0.450339647874,j,1,1.00011881459,0.333801091752,SPR,39,A,,f,50.0085671705,001,2017_01_20_1109,
小王關注航海家資助的演員,小王關注演員？,的,資助,演員,小王,航海家,f,關注,12,2,51,0,22,22,10,space,space,0.417261430377,space,0.440550668105,space,0.537317450862,space,0.587236155634,space,0.490563319292,space,0.683745572576,f,1,2.17057787704,0.383924268135,SPR,39,A,,f,50.0085671705,001,2017_01_20_1109,
大腦裡的奧秘等著你們去解開,大腦里有奧妙？,你們,等著,去解開,大腦裡,奧秘,f,的,13,3,19,0,23,23,18,space,space,0.453917901094,space,0.417081826934,space,0.393647327521,space,0.523504564493,space,0.477025956448,space,0.363760130325,f,1,1.59118111566,0.343750727789,SPR,39,A,,f,50.0085671705,001,2017_01_20_1109,
法官偏袒代理商詆毀的律師,代理商詆毀律師？,的,詆毀,律師,法官,代理商,f,偏袒,12,2,61,0,0,0,12,space,space,0.740732758364,space,0.713953687575,space,0.673904093339,space,0.787312418019,space,0.773522031421,space,1.25725805146,f,1,3.35194103955,3.41585618146,SPR,39,A,,f,50.0085671705,001,2017_01_20_1109,
外婆感激協助叔叔的警察,外婆感激警察？,的,叔叔,警察,外婆,協助,f,感激,11,1,31,0,1,1,6,space,space,0.417106695104,space,0.386929764001,space,0.36684457276,space,0.45044859414,space,0.350420923367,space,0.350407897184,f,1,1.20055862592,0.367114175291,SPR,39,A,,f,50.0085671705,001,2017_01_20_1109,
朋友毆打碰見駕駛員的盜賊,朋友幫助盜賊？,的,駕駛員,盜賊,朋友,碰見,j,毆打,12,1,32,0,2,2,7,space,space,0.557226985989,space,0.550385476357,space,1.05063119755,space,0.683446365083,space,0.523514432814,space,0.530421862832,j,1,2.13366246158,0.643838082167,SPR,39,A,,f,50.0085671705,001,2017_01_20_1109,
今天爸爸買了一籃新鮮的水果,爸爸買了水果？,的,新鮮,各種水果,今天,買了,f,爸爸,13,3,27,0,3,3,18,space,space,0.607051744346,space,0.373804502244,space,0.400428443027,space,0.370681375991,space,0.410461367694,space,0.450395305206,f,1,1.1640091278,0.417093668921,SPR,39,A,,f,50.0085671705,001,2017_01_20_1109,
律師帮助惹怒上尉的服務員,律師無視服務員？,的,上尉,服務員,律師,惹怒,j,幫助,12,1,30,0,4,4,5,space,space,0.484782062076,space,0.367047070707,space,0.550414686588,space,0.640383380325,space,0.633445950614,space,3.53381222322,j,1,1.65052248813,0.366829967645,SPR,39,A,,f,50.0085671705,001,2017_01_20_1109,
警衛攔住治療師責備的婦女,治療師沒責備婦女？,的,責備,婦女,警衛,治療師,j,攔住,12,2,62,0,5,5,13,space,space,0.479176066243,space,0.383775453854,space,0.417034853725,space,0.417048274643,space,1.27392919835,space,0.750494896301,j,1,1.52372719382,0.383642823619,SPR,39,A,,f,50.0085671705,001,2017_01_20_1109,
海關扣留空服員侮辱的旅客,海關扣留空服員？,的,侮辱,旅客,海關,空服員,j,扣留,12,2,58,0,6,6,9,space,space,0.617146247334,space,0.387248313406,space,0.377650779064,space,0.480226450336,space,0.700539481377,space,1.05906505947,j,1,1.45055004048,0.400389759208,SPR,39,A,,f,50.0085671705,001,2017_01_20_1109,
參加國際會議是令人高興的事,參會不值得高興？,的,令人高興,事,參加,是,j,國際會議,13,3,28,0,7,7,19,space,space,0.51708502427,space,0.597256448849,space,0.475671233331,space,0.450508593533,space,0.400388969743,space,0.367234568806,j,1,2.167173701,0.400386206613,SPR,39,A,,f,50.0085671705,001,2017_01_20_1109,
孩子們快樂地享受著陽光,孩子們喜歡陽光？,著,享受,陽光,孩子們,的,f,快樂,11,3,31,0,8,8,22,space,space,0.607272005271,space,0.670338471571,space,0.751407518634,space,0.403658936613,space,0.390120389569,space,0.680262055239,f,1,1.06574117604,0.400360943711,SPR,39,A,,f,50.0085671705,001,2017_01_20_1109,
弟弟花光了所有的零花錢,弟弟還有零花錢？,的,所有,零花錢,弟弟,光了,j,花,11,3,30,0,9,9,21,space,space,0.650409989266,space,0.677218665021,space,0.750423054924,space,0.417066827085,space,0.399200823886,space,0.517082655873,j,1,1.31708178746,0.400429627227,SPR,39,A,,f,50.0085671705,001,2017_01_20_1109,
大叔喜歡親近孩子的阿姨,大叔喜歡阿姨？,的,孩子,阿姨,大叔,親近,f,喜歡,11,1,27,0,10,10,2,space,space,0.490553845704,space,0.356392836546,space,0.417953002318,space,0.440712113837,space,0.370580719116,space,1.26075183186,f,1,1.08379941414,0.456022221881,SPR,39,A,,f,50.0085671705,001,2017_01_20_1109,
群眾反感主播討好的發言人,群眾反感發言人？,的,討好,發言人,群眾,主播,f,反感,12,2,57,0,11,11,8,space,space,0.410102555539,space,0.454046584002,space,0.417146957854,space,0.507268018468,space,0.460385598726,space,2.01422498746,f,1,1.39485481529,0.417093668919,SPR,39,A,,f,50.0085671705,001,2017_01_20_1109,
教授排斥小林支持的研究員,小林不支持研究員？,的,支持,研究員,教授,小林,j,排斥,12,2,64,0,12,12,15,space,space,1.42146967722,space,0.573911553791,space,0.417094458384,space,0.550451396743,space,0.623960915133,space,1.01706982706,j,1,1.85380200753,0.897341434831,SPR,39,A,,f,50.0085671705,001,2017_01_20_1109,
他一邊寫作業一邊看著電視,他沒在看電視？,看著,一邊,電視,他,寫作業,j,一邊,12,3,26,0,13,13,17,space,space,0.640437063992,space,0.563804419349,space,0.55140349236,space,0.33379793389,space,0.36710430697,space,0.483728914851,j,1,1.27066041568,0.807165111617,SPR,39,A,,f,50.0085671705,001,2017_01_20_1109,
