Sentences,Question,word5,word4,word6,word1,word3,Ans,word2,lenth,Type,ID,practicetrials.thisRepN,practicetrials.thisTrialN,practicetrials.thisN,practicetrials.thisIndex,key_resp_12.keys,key_resp_12.rt,Atests1.keys,Atests1.rt,Atests2.keys,Atests2.rt,Atests3.keys,Atests3.rt,Atests4.keys,Atests4.rt,Atests5.keys,Atests5.rt,Atests6.keys,Atests6.rt,key_resp_8.keys,key_resp_8.corr,key_resp_8.rt,expName,participant,version,Grade,Gender,frameRate,session,date,
小劉愛慕欽佩領隊的組長,小劉討厭組長？,的,領隊,組長,小劉,欽佩,j,愛慕,11,1,6,0,0,0,5,space,0.651657194467,space,0.500388019485,space,0.650398400874,space,0.650692869356,space,0.71708919869,space,0.650293797444,space,0.817060067624,j,1,2.95015785248,SPR,25,A,,m,60.0131710788,001,2017_01_16_0842,
小李暗戀船長招待的賓客,船長招待過賓客？,的,招待,賓客,小李,船長,f,暗戀,11,2,37,0,1,1,12,space,0.467253603681,space,0.50061854173,space,0.51706101498,space,0.850338954551,space,0.666935609304,space,0.833691221764,space,1.16710179058,f,1,1.08371865549,SPR,25,A,,m,60.0131710788,001,2017_01_16_0842,
警察逮捕了正在逃跑的罪犯,罪犯正在逃跑？,的,逃跑,罪犯,警察,正在,f,逮捕了,12,3,1,0,2,2,16,space,0.550573187269,space,0.517081146201,space,0.583737207795,space,0.500189865066,space,0.483711866123,space,0.483797522509,space,0.833734247324,f,1,1.48378252279,SPR,25,A,,m,60.0131710788,001,2017_01_16_0842,
村民擔心刺客襲擊的鐵匠,刺客襲擊了鐵匠？,的,襲擊,鐵匠,村民,刺客,f,擔心,11,2,39,0,3,3,14,space,0.467076764689,space,0.567048423094,space,0.500503675328,space,0.583707997794,space,0.483565026618,space,0.467132026883,space,1.18384110069,f,1,3.55076384179,SPR,25,A,,m,60.0131710788,001,2017_01_16_0842,
敵人搜查戰士掩護的村民,戰士沒掩護村民？,的,掩護,村民,敵人,戰士,j,搜查,11,2,40,0,4,4,15,space,0.417189617976,space,0.633745536587,space,0.666875215626,space,0.500438544899,space,0.633754615381,space,1.13379093051,space,0.933705116258,j,1,1.6003482307,SPR,25,A,,m,60.0131710788,001,2017_01_16_0842,
老師這次沒有劃考試的重點,老師劃了重點？,的,劃考試,重點,老師,沒有,j,這次,12,3,4,0,5,5,19,space,0.433756431143,space,0.467019134143,space,0.466881373402,space,0.500463412871,space,0.900386361609,space,0.550437005455,space,0.517138776762,j,1,1.68387741584,SPR,25,A,,m,60.0131710788,001,2017_01_16_0842,
名嘴毀謗賞識徐總的詩人,名嘴稱讚詩人？,的,徐總,詩人,名嘴,賞識,j,毀謗,11,1,8,0,6,6,7,space,0.366824848097,space,0.350370138214,space,0.467165184193,space,0.517090224996,space,0.550439768573,space,0.467046370497,space,0.717125513838,j,1,1.90065083063,SPR,25,A,,m,60.0131710788,001,2017_01_16_0842,
助教嫌棄局長愛慕的學生,助教嫌棄學生？,的,愛慕,學生,助教,局長,f,嫌棄,11,2,33,0,7,7,8,space,0.550144115885,space,0.633444357692,space,0.666998766072,space,0.800442334308,space,0.733646143606,space,0.55048397831,space,0.867173789302,f,1,1.81720967025,SPR,25,A,,m,60.0131710788,001,2017_01_16_0842,
傳統小說有很多精華的部分,小說沒有精華？,的,精華,部分,傳統小說,很多 ,j,有 ,12,3,6,0,8,8,21,space,0.450426268799,space,0.583691024396,space,0.600355730567,space,0.483721734374,space,1.96698005588,space,0.467045975762,space,0.433266176624,j,1,1.20021568041,SPR,25,A,,m,60.0131710788,001,2017_01_16_0842,
茶餐廳裡有很多好吃的甜點,餐廳裡有甜點？,的,好吃,甜點,茶餐廳裡,很多,f,有,12,3,5,0,9,9,20,space,0.350292376417,space,0.46694058289,space,0.383879942106,space,0.383744944498,space,0.467123342823,space,0.367437468856,space,0.683633472785,f,1,1.03384690323,SPR,25,A,,m,60.0131710788,001,2017_01_16_0842,
王董賞識表揚工人的廠長,王董賞識廠長？,的,工人,廠長,王董,表揚,f,賞識,11,1,3,0,10,10,2,space,0.50044841315,space,0.500453544635,space,0.45043653177,space,0.483862258217,space,0.683813469601,space,0.467330181287,space,0.633715142394,f,1,5.25067123816,SPR,25,A,,m,60.0131710788,001,2017_01_16_0842,
究竟存不存在外星人仍是個謎,外星人是個謎？,是個,仍,謎,究竟,外星人,f,存不存在,13,3,3,0,11,11,18,space,0.550308323509,space,0.416876597184,space,0.35054539828,space,0.367312734219,space,0.383562974021,space,0.333851087358,space,0.500085261665,f,1,1.61705990974,SPR,25,A,,m,60.0131710788,001,2017_01_16_0842,
叔叔有很多棟房子和別墅,叔叔沒有房子？,和,房子,別墅,叔叔,很多棟,j,有,11,3,8,0,12,12,23,space,0.350636975607,space,0.417025015602,space,0.533984663954,space,0.350365796185,space,0.433694853273,space,0.600425203025,space,0.383787970059,j,1,0.967114658764,SPR,25,A,,m,60.0131710788,001,2017_01_16_0842,
老師調查傷害弟弟的同學,同學調查老師？,的,弟弟,同學,老師,傷害,j,調查,11,1,4,0,13,13,3,space,0.333717668662,space,0.333956480245,space,0.417008436969,space,0.467076764689,space,0.666938372407,space,0.400572674102,space,0.666975871733,j,1,3.73388416572,SPR,25,A,,m,60.0131710788,001,2017_01_16_0842,
村民援助舉薦小潘的水手,村民援助水手？,的,小潘,水手,村民,舉薦,f,援助,11,1,7,0,14,14,6,space,0.350335796713,space,0.383626130802,space,0.650520767129,space,2.15033366517,space,0.533563881909,space,0.467061370233,space,0.517074435804,f,1,1.48331003112,SPR,25,A,,m,60.0131710788,001,2017_01_16_0842,
商人質疑小陳賄賂的企劃員,商人質疑小陳？,的,賄賂,企劃員,商人,小陳,j,質疑,12,2,36,0,15,15,11,space,0.383710208262,space,0.433654985565,space,0.400155049894,space,0.367131553212,space,0.50063748876,space,0.416983963703,space,2.31702138409,j,1,2.23387666585,SPR,25,A,,m,60.0131710788,001,2017_01_16_0842,
強盜綁架主人誣陷的管家,強盜綁架主人？,的,誣陷,管家,強盜,主人,j,綁架,11,2,34,0,16,16,9,space,0.383800601398,space,0.450520214508,space,0.467057422939,space,0.650319454886,space,0.900518596114,space,1.48373831304,space,1.36697247706,j,1,1.66710889571,SPR,25,A,,m,60.0131710788,001,2017_01_16_0842,
外婆檢舉嬸嬸救治的鄰居,嬸嬸沒救鄰居？,的,救治,鄰居,外婆,嬸嬸,j,檢舉,11,2,38,0,17,17,13,space,0.483811732789,space,0.4001511026,space,0.483463186305,space,0.550392400968,space,1.70035067803,space,0.517176670823,space,0.667107316796,j,1,1.83354201388,SPR,25,A,,m,60.0131710788,001,2017_01_16_0842,
證人揭發搶匪指使的殺手,證人揭發殺手？,的,指使,殺手,證人,搶匪,f,揭發,11,2,35,0,18,18,10,space,0.433498672515,space,0.500702224468,space,0.667080080428,space,0.800961404093,space,0.583692998043,space,0.483776601832,space,2.5337845359,f,1,2.15043550548,SPR,25,A,,m,60.0131710788,001,2017_01_16_0842,
小紅取笑崇拜小張的作家,小紅取笑作家？,的,小張,作家,小紅,崇拜,f,取笑,11,1,1,0,19,19,0,space,0.383786391132,space,0.433638801624,space,0.750438742267,space,0.967185315414,space,0.666802585314,space,0.600447702644,space,1.13404829442,f,1,1.3836604723,SPR,25,A,,m,60.0131710788,001,2017_01_16_0842,
粉絲大罵羞辱小周的導演,粉絲大罵導演？,的,小周,導演,粉絲,羞辱,f,大罵,11,1,5,0,20,20,4,space,0.467177420825,space,0.650388532624,space,0.49997671094,space,0.467155710678,space,0.500217890891,space,0.433628933388,space,0.733693116461,f,1,0.76708726451,SPR,25,A,,m,60.0131710788,001,2017_01_16_0842,
公園裡擠滿了玩鬧的小孩,公園裡有小孩？,的,玩鬧,小孩,公園裡,滿了,f,擠,11,3,7,0,21,21,22,space,0.367112211447,space,0.417370798983,space,0.566851847616,space,0.48370436627,space,0.717069462204,space,0.63374908916,space,0.500343414998,f,1,0.883835337634,SPR,25,A,,m,60.0131710788,001,2017_01_16_0842,
司機們大部分都比較好說話,司機討厭說話？,好,比較,說話,司機們,都,j,大部分,12,3,2,0,22,22,17,space,0.400389519447,space,0.483612394208,space,0.667239551301,space,0.450352454311,space,0.500372625,space,0.733356411874,space,0.533949138262,j,1,2.7171038037,SPR,25,A,,m,60.0131710788,001,2017_01_16_0842,
校長相信厭惡房東的小孩,小孩相信校長？,的,房東,小孩,校長,厭惡,j,相信,11,1,2,0,23,23,1,space,0.467065712262,space,0.367144184565,space,0.533681511399,space,0.750388216838,space,0.650499451716,space,0.733783904332,space,2.85044276851,f,0,5.63392632289,SPR,25,A,,m,60.0131710788,001,2017_01_16_0842,
參加國際會議是令人高興的事,參會不值得高興？,的,令人高興,事,參加,是,j,國際會議,13,3,28,0,0,0,19,space,2.00081788031,space,0.883789548985,space,0.866921951631,space,0.717144855604,space,0.950291665911,space,0.767141737233,space,0.533624670308,j,1,1.80078101254,SPR,25,A,,m,60.0131710788,001,2017_01_16_0842,
家長們準備了豐盛的晚餐,晚餐沒有東西吃？,的,豐盛,晚餐,家長們,了,j,準備,11,3,32,0,1,1,23,space,0.483760023184,space,0.467047554688,space,0.583682735072,space,0.533683090325,space,0.583894310286,space,0.433787614791,space,0.583701682102,j,1,1.40046846544,SPR,25,A,,m,60.0131710788,001,2017_01_16_0842,
朋友毆打碰見駕駛員的盜賊,朋友幫助盜賊？,的,駕駛員,盜賊,朋友,碰見,j,毆打,12,1,32,0,2,2,7,space,0.417109093076,space,0.550329244201,space,0.817062830742,space,0.567018423622,space,0.833810035459,space,0.45061179185,space,0.633726589556,j,1,1.8834702125,SPR,25,A,,m,60.0131710788,001,2017_01_16_0842,
今天爸爸買了一籃新鮮的水果,爸爸買了水果？,的,新鮮,各種水果,今天,買了,f,爸爸,13,3,27,0,3,3,18,space,0.367203788774,space,0.533773483461,space,0.5999902107,space,0.533933743805,space,0.61709819852,space,0.467196762591,space,0.483905283763,f,1,0.866829584847,SPR,25,A,,m,60.0131710788,001,2017_01_16_0842,
法官偏袒代理商詆毀的律師,代理商詆毀律師？,的,詆毀,律師,法官,代理商,f,偏袒,12,2,61,0,4,4,12,space,0.467268208697,space,0.417031726029,space,0.50043459759,space,0.533687827075,space,0.600572437281,space,0.467081896189,space,1.30045141309,f,1,6.01721574909,SPR,25,A,,m,60.0131710788,001,2017_01_16_0842,
外婆感激協助叔叔的警察,外婆感激警察？,的,叔叔,警察,外婆,協助,f,感激,11,1,31,0,5,5,6,space,0.433828271969,space,0.650566950528,space,0.550385295835,space,0.766907662415,space,0.667291260921,space,1.03350980391,space,0.800449834176,f,1,1.0003461781,SPR,25,A,,m,60.0131710788,001,2017_01_16_0842,
政府豁免檢舉犯人的同伴,同伴豁免政府？,的,犯人,同伴,政府,檢舉,j,豁免,11,1,26,0,6,6,1,space,0.533757694284,space,0.48378962792,space,0.716991305686,space,1.15056576634,space,1.15024011419,space,1.05048082047,space,0.667062712324,j,1,2.21702485773,SPR,25,A,,m,60.0131710788,001,2017_01_16_0842,
律師帮助惹怒上尉的服務員,律師無視服務員？,的,上尉,服務員,律師,惹怒,j,幫助,12,1,30,0,7,7,5,space,0.600601252561,space,1.15063247569,space,0.86704905465,space,0.617029120796,space,0.483707918844,space,0.717303142286,space,1.98343989725,j,1,1.93337670098,SPR,25,A,,m,60.0131710788,001,2017_01_16_0842,
助手賄賂批評小吳的評論家,助手賄賂評論家？,的,小吳,評論家,助手,批評,f,賄賂,12,1,29,0,8,8,4,space,0.383670735275,space,0.517004963331,space,0.517093777555,space,0.733509961792,space,0.817039541682,space,0.483739497227,space,1.65024485094,f,1,1.80036970401,SPR,25,A,,m,60.0131710788,001,2017_01_16_0842,
弟弟花光了所有的零花錢,弟弟還有零花錢？,的,所有,零花錢,弟弟,光了,j,花,11,3,30,0,9,9,21,space,0.500453544635,space,0.467031765496,space,0.567000660769,space,0.517071277951,space,0.450485083551,space,0.400404519183,space,0.783481185994,j,1,1.21710340897,SPR,25,A,,m,60.0131710788,001,2017_01_16_0842,
