Sentences,Question,word5,word4,word6,word1,word3,Ans,word2,lenth,Type,ID,practicetrials.thisRepN,practicetrials.thisTrialN,practicetrials.thisN,practicetrials.thisIndex,key_resp_12.keys,key_resp_12.rt,Atests1.keys,Atests1.rt,Atests2.keys,Atests2.rt,Atests3.keys,Atests3.rt,Atests4.keys,Atests4.rt,Atests5.keys,Atests5.rt,Atests6.keys,Atests6.rt,key_resp_8.keys,key_resp_8.corr,key_resp_8.rt,expName,participant,version,Grade,Gender,frameRate,session,date,
青年佩服小謝督促的技術員,青年佩服小謝？,的,督促,技術員,青年,小謝,j,佩服,12,2,50,0,0,0,9,space,0.483985096471,space,0.533768013142,space,0.450625039717,space,0.400428837762,space,0.417182089077,space,1.60141653827,space,0.61706690603,f,0,1.53376090795,SPR,13,A,,f,59.9958082289,001,2017_01_09_1028,
有人明年要在高雄舉辦演唱會,明年有演唱會？,舉辦,高雄,演唱會,有人,要在,f,明年,13,3,17,0,1,1,16,space,0.666967058358,space,0.467077899339,space,0.533701698027,space,0.516842658304,space,0.650710380956,space,0.500358220059,space,1.06712037259,f,1,1.30783043382,SPR,13,A,,f,59.9958082289,001,2017_01_09_1028,
夏天是個非常美麗的季節,夏天是個好季節？,的,美麗,季節,夏天,非常,f,是個,11,3,23,0,2,2,22,space,0.467161187968,space,0.600126946083,space,0.567087412404,space,0.483859571425,space,0.467235003009,space,0.40057488891,space,0.51722791756,f,1,1.96708559663,SPR,13,A,,f,59.9958082289,001,2017_01_09_1028,
主任指責嘲笑上司的會計,主任指責會計？,的,上司,會計,主任,嘲笑,f,指責,11,1,23,0,3,3,6,space,0.417060511361,space,0.400475021503,space,0.417057748229,space,0.533723013592,space,0.502972535673,space,0.417051432501,None,,f,1,2.73385927537,SPR,13,A,,f,59.9958082289,001,2017_01_09_1028,
妹妹的個性一向是冷冰冰的,妹妹個性熱情？,是,一向,冷冰冰的,妹妹,個性,j,的,11,3,20,0,4,4,19,space,0.600663782752,space,0.533688671836,space,0.48370602035,space,0.467137504005,space,0.533789723449,space,0.483941281127,space,0.617029011686,j,1,0.733751513304,SPR,13,A,,f,59.9958082289,001,2017_01_09_1028,
大腦裡的奧秘等著你們去解開,大腦里有奧妙？,你們,等著,去解開,大腦裡,奧秘,f,的,13,3,19,0,5,5,18,space,0.433800341765,space,0.517060156104,space,0.600434837696,space,0.716963920233,space,1.31706520868,space,0.583815006088,space,0.417119721285,f,1,2.20075086081,SPR,13,A,,f,59.9958082289,001,2017_01_09_1028,
治療師開導小崔照顧的飛行員,治療師開導飛行員？,的,照顧,飛行員,治療師,小崔,f,開導,13,2,49,0,6,6,8,space,0.433848499168,space,0.517352653136,space,0.550071663747,space,0.650522093398,space,0.866718455611,space,0.717205891466,space,1.46715803011,f,1,4.16732804154,SPR,13,A,,f,59.9958082289,001,2017_01_09_1028,
鄰居告發砍傷表弟的疑犯,鄰居告發疑犯？,的,表弟,疑犯,鄰居,砍傷,f,告發,11,1,21,0,7,7,4,space,0.367111412161,space,0.433782973516,space,0.417111826631,space,0.417103537235,space,0.450495962083,space,1.43404981292,space,0.683621626464,f,1,2.8836059161,SPR,13,A,,f,59.9958082289,001,2017_01_09_1028,
媽媽討厭小白忽視的企業家,小白忽視企業家？,的,忽視,企業家,媽媽,小白,f,討厭,12,2,55,0,8,8,14,space,0.433802710155,space,0.517130813285,space,0.400372390963,space,0.500639269841,space,0.533811039015,space,0.517112655565,space,1.80050636329,f,1,1.58369303364,SPR,13,A,,f,59.9958082289,001,2017_01_09_1028,
許多古生物學家著迷於恐龍,學者討厭恐龍？,於,著迷,恐龍,許多,生物學家,j,古,12,3,22,0,9,9,21,space,0.367129964601,space,0.367111017433,space,0.350332503207,space,0.417153668313,space,0.333786881376,space,0.450249254056,space,0.367119306815,j,1,0.833708921637,SPR,13,A,,f,59.9958082289,001,2017_01_09_1028,
