,Sub,Version,Type,ID,RT1,RT2,RT3,RT4,RT5,RT6,Ans,AnsSpeed
528,2,B,3,28,0.717061568,1.283776049,0.517139961,0.667451521,0.38382389,0.450128642,1,1.30064562
529,2,B,3,30,0.45050561,0.716930912,0.517162066,0.467189657,0.467467547,0.934155108,1,1.567132501
530,2,B,2,52,0.417126856,0.633892376,0.550598845,0.733824956,0.433579987,0.76694753,1,1.200550806
531,2,B,3,29,0.516743652,0.467181763,0.583711156,0.450436137,0.433841298,0.533804272,1,1.417198302
532,2,B,1,23,0.517096935,0.617185039,0.867176947,0.683810312,0.767125159,0.567117896,1,1.25049282
533,2,B,3,48,0.400371362,0.417233038,0.384045334,0.366810638,0.568188403,0.467649123,1,0.65038498
534,2,B,3,24,0.467132422,0.517060226,0.916872255,0.450181931,0.583731682,0.550077012,1,1.066759481
535,2,B,1,19,0.517240222,0.750336507,0.600456387,0.950634686,0.567147895,1.050461873,1,1.583490107
536,2,B,3,43,0.567096975,0.533878087,0.467136369,0.483860285,0.483874495,0.633849745,1,0.783745655
537,2,B,2,53,0.567162895,0.600395598,0.683806759,0.683807549,1.217189855,1.133727774,1,2.450487847
538,2,B,1,18,0.517133251,0.767155158,0.617100172,1.150456426,0.583599842,0.933915902,1,2.367307208
539,2,B,2,51,0.500641436,0.550137405,0.567162105,0.683737681,1.067176316,0.483785681,1,2.333450042
540,2,B,1,3,0.750590319,0.717172881,0.75040598,0.850393033,0.817233354,1.066855795,1,1.317442561
541,2,B,3,10,0.550615423,0.667166921,0.733813509,0.533757694,0.450105748,0.467080712,1,0.717100646
542,2,B,3,1,0.517127724,0.533834667,0.550489505,0.55044569,0.550459505,0.617183855,1,1.0504674
543,2,B,2,43,0.533811772,0.533805062,0.433790773,0.550458716,0.600539675,0.967198736,1,1.200471465
544,2,B,3,3,0.683807154,0.733453515,0.517194039,0.550421611,0.517275353,0.533768352,1,1.034054136
