,Unnamed: 0,Sub,Version,Type,ID,RT1,RT2,RT3,RT4,RT5,RT6,Ans,AnsSpeed
1,95,1,B,2,54,0.583809838,0.517143514,0.48374976,0.450462189,0.550454768,0.683839522,1,1.850547372
2,103,1,B,3,15,0.466851374,0.365872365,0.367043923,0.318447543,0.300595095,0.383727971,1,0.833690038
3,269,1,B,3,14,0.567216578,0.483795549,0.417293432,0.317112172,0.333898455,0.333395964,1,0.633920402
4,283,1,B,1,25,0.317116909,0.367111422,0.417211723,0.384129806,0.533826772,0.767133053,1,1.383433897
5,373,1,B,2,34,0.383871653,0.350603029,0.350376059,0.30041194,0.450617318,0.516734573,1,0.833912665
6,384,1,B,1,17,0.450455874,0.584026545,0.467292682,0.433874455,0.583827996,1.234090215,1,1.233936665
7,401,1,B,3,33,0.417240143,0.350436848,0.350517767,0.333795036,0.383773365,1.000534464,1,1.017394562
8,559,1,B,3,63,0.53392506,0.40046965,0.450486662,0.417162776,0.467128474,0.367177342,1,1.016808783
9,589,1,B,1,33,0.533782957,0.367189184,0.400529649,0.400566753,0.367175368,0.500457492,1,0.817134672
10,592,1,B,3,35,0.433771826,0.350447505,0.417168303,0.367064449,0.366838269,0.43380222,1,0.782760804
11,703,1,B,3,65,0.40046965,0.350468031,0.317188355,0.367192342,0.3671805,0.417066462,1,0.883851916
12,822,1,B,1,30,0.383790733,0.383702708,0.317116909,0.383822706,0.400398993,0.517110751,1,3.100380993
13,831,1,B,1,26,0.500439729,0.43378801,0.367488784,0.367116159,0.483820812,0.483828311,1,1.81710112
14,892,1,B,1,32,0.400465702,0.383791128,0.483893442,0.433855903,0.533940849,0.95049061,1,1.817128751
15,1013,1,B,3,60,0.482338996,0.416850545,0.418503279,0.400331494,0.417249222,0.383810864,1,0.800582463
16,1031,1,B,3,39,0.50050407,0.400443597,0.417099225,0.383717708,0.350472373,0.317099541,1,0.733784694
17,1064,1,B,3,55,0.334069768,0.33389806,0.300497202,0.350545004,0.367427601,0.467140711,1,0.750709922
18,1234,1,B,2,63,0.383927704,0.300361809,0.333845166,0.417167908,0.433782089,0.63382093,1,1.167187447
19,1236,1,B,3,16,0.400436098,0.367131948,0.350601845,0.350475926,0.333814772,0.517077199,1,1.317160329
21,1406,1,B,3,20,0.333851482,0.367163526,0.333843193,0.350597897,0.317210854,0.63401119,1,0.717118803
22,1407,1,B,3,40,0.367295761,0.350451453,0.417145408,0.40052728,0.417168303,0.400475571,1,1.000412493
23,1477,1,B,3,4,0.633659485,0.400425045,0.46674756,0.400519386,0.400530833,0.300473123,1,0.734076004
24,1609,1,B,3,10,0.550526214,0.367303261,0.35049882,0.383730339,0.35054974,0.350517767,1,0.68379847
25,1621,1,B,3,3,0.317045463,0.350554082,0.367162342,0.350438032,0.367233788,0.367167079,1,0.917340405
26,1720,1,B,3,9,0.41709962,0.467152948,0.383896521,0.433732353,0.38351008,0.53377151,1,0.683932678
27,1802,1,B,3,1,0.467173868,0.417190013,0.367143,0.350409216,0.317184802,0.31713625,1,1.017059041
28,1806,1,B,1,3,0.367047476,0.367314313,0.550507662,0.450727842,0.467211762,1.200381072,1,1.133488962
29,1824,1,B,2,42,0.450675738,0.467122948,0.533540988,0.433795115,0.533973612,0.55054753,1,1.583674446
30,1969,1,B,3,8,0.350528425,0.367241683,0.383862574,0.467201105,0.53386664,0.767157132,1,1.100576385
31,1983,1,B,2,43,0.350353954,0.367229051,0.36720221,0.350221325,0.400506359,0.50048157,1,0.967148211
32,2110,1,B,3,24,0.450519425,0.400462544,0.350447505,0.317164276,0.333754379,0.383865337,1,1.533915981
33,2188,1,B,3,48,0.350485005,0.317225854,0.283853811,0.31684494,0.367119711,0.367242078,1,0.850436848
34,2193,1,B,1,19,0.367177737,0.400449124,1.017194828,0.45065087,0.367194315,0.450470084,1,0.98393331
35,2243,1,B,3,29,0.450508373,0.400847406,0.450372586,0.46680598,0.350164089,0.300123787,1,0.833932007
36,2356,1,B,2,51,0.36723892,0.40054899,0.417131593,0.417134751,0.500132629,0.500432624,1,1.117206749
37,2358,1,B,3,30,0.450574687,0.400537543,0.400486623,0.433814456,0.400513465,0.483857521,1,1.100747303
38,2487,1,B,1,18,0.517193644,0.350520136,0.450501662,0.350505925,0.467176237,1.150621423,1,3.734417446
39,2504,1,B,3,28,0.35062316,0.367373128,0.317072304,0.300537069,0.300525228,0.383811654,1,0.617314511
40,2509,1,B,3,43,0.400503991,0.467235841,0.333802141,0.267073844,0.283855785,0.517011279,1,0.667142842
41,2641,1,B,2,52,0.317136645,0.283781181,0.300469571,0.31710033,0.400513465,0.634018295,1,2.967220446
42,2746,2,B,3,28,0.717061568,1.283776049,0.517139961,0.667451521,0.38382389,0.450128642,1,1.30064562
43,2747,2,B,3,30,0.45050561,0.716930912,0.517162066,0.467189657,0.467467547,0.934155108,1,1.567132501
44,2860,2,B,2,52,0.417126856,0.633892376,0.550598845,0.733824956,0.433579987,0.76694753,1,1.200550806
45,2956,2,B,3,29,0.516743652,0.467181763,0.583711156,0.450436137,0.433841298,0.533804272,1,1.417198302
46,2966,2,B,1,23,0.517096935,0.617185039,0.867176947,0.683810312,0.767125159,0.567117896,1,1.25049282
47,3000,2,B,3,48,0.400371362,0.417233038,0.384045334,0.366810638,0.568188403,0.467649123,1,0.65038498
48,3083,2,B,3,24,0.467132422,0.517060226,0.916872255,0.450181931,0.583731682,0.550077012,1,1.066759481
49,3095,2,B,1,19,0.517240222,0.750336507,0.600456387,0.950634686,0.567147895,1.050461873,1,1.583490107
50,3176,2,B,3,43,0.567096975,0.533878087,0.467136369,0.483860285,0.483874495,0.633849745,1,0.783745655
51,3274,2,B,2,53,0.567162895,0.600395598,0.683806759,0.683807549,1.217189855,1.133727774,1,2.450487847
52,3277,2,B,1,18,0.517133251,0.767155158,0.617100172,1.150456426,0.583599842,0.933915902,1,2.367307208
53,3402,2,B,2,51,0.500641436,0.550137405,0.567162105,0.683737681,1.067176316,0.483785681,1,2.333450042
54,3500,2,B,1,3,0.750590319,0.717172881,0.75040598,0.850393033,0.817233354,1.066855795,1,1.317442561
55,3501,2,B,3,10,0.550615423,0.667166921,0.733813509,0.533757694,0.450105748,0.467080712,1,0.717100646
56,3634,2,B,3,1,0.517127724,0.533834667,0.550489505,0.55044569,0.550459505,0.617183855,1,1.0504674
57,3667,2,B,2,43,0.533811772,0.533805062,0.433790773,0.550458716,0.600539675,0.967198736,1,1.200471465
58,3669,2,B,3,3,0.683807154,0.733453515,0.517194039,0.550421611,0.517275353,0.533768352,1,1.034054136
59,3797,2,B,1,16,0.533783746,0.717151566,0.817238091,1.083872205,0.533898218,1.283783944,1,6.61720596
61,3933,2,B,2,42,0.699939764,0.63382764,3.450549425,0.667291261,0.583887995,1.900370572,1,2.083927073
62,3943,2,B,1,2,0.733716406,0.767158711,0.533724932,0.733890876,0.500586174,1.117208328,1,1.483805812
64,4045,2,B,3,4,0.58379997,0.683968598,0.600410993,0.70055199,0.550506873,0.683814654,1,0.750441111
65,4185,2,B,3,9,0.583771549,0.483802654,0.70067712,0.467125711,0.48380818,0.467086633,1,0.933907613
66,4260,2,B,3,8,0.667054423,0.517154171,0.667240735,0.667129027,0.667206394,0.534064005,1,1.01741193
67,4271,2,B,2,37,0.650411427,1.200774223,0.650397217,0.717169329,1.233824956,0.483800286,1,3.01719917
68,4410,2,B,2,54,1.38411007,1.050336349,1.850438426,0.784007756,1.10048757,1.117263985,1,4.000760644
69,72,2,B,3,35,0.550531346,1.100554674,0.833817141,0.500103419,0.350557635,0.417177381,1,1.083718261
70,74,2,B,1,17,0.567155395,0.71709512,0.617190171,0.883822312,0.817150066,0.600461913,1,0.767138579
71,115,2,B,3,63,0.500122761,0.500447624,0.583886021,0.550439374,0.567095791,0.433875245,1,0.700613173
72,273,2,B,3,15,0.617201618,0.683831627,0.700400809,0.650445374,0.767173316,0.600640331,1,1.33379622
73,274,2,B,2,34,0.583911678,0.617122277,1.467182947,0.483679893,0.583839838,1.333838851,1,1.500486307
74,381,2,B,1,33,0.583934178,0.583801154,0.633742773,0.650456426,0.767434627,1.100511649,1,0.850415927
75,386,2,B,3,33,0.617375299,0.650464715,0.517150619,0.483832259,0.400473992,0.483926599,1,0.700536201
76,403,2,B,3,65,0.500527359,0.517224828,0.533764405,0.467060975,0.467190842,0.500483939,1,0.933886692
77,561,2,B,2,48,0.467154526,0.517156145,0.617020831,0.617101751,0.617153066,0.51706141,1,1.383768234
78,580,2,B,3,14,0.483500291,0.583771549,0.550437795,0.450396664,0.517431666,0.517146277,1,0.967410311
79,585,2,B,1,25,0.600482834,0.58382918,0.583795233,0.567380786,0.683828469,1.133773168,1,1.100419677
80,700,2,B,3,39,0.717239591,0.617172408,0.500464992,0.450511925,0.500723935,0.466651246,1,1.717460245
81,817,2,B,2,62,0.700437913,0.967182158,0.800274574,0.600506912,0.633787378,0.467218473,1,2.101741232
82,835,2,B,3,55,0.450446795,0.600512044,0.600497044,0.567156579,0.550407401,0.650447742,1,1.233753905
83,906,2,B,1,30,0.500513938,0.717236433,0.933858666,1.300924299,2.017137987,0.600447308,1,3.283985256
84,1008,2,B,1,26,0.567258419,1.100490333,0.55052503,0.650528662,1.117295169,0.633823693,1,0.984050544
85,1029,2,B,3,16,0.500411309,0.500547096,0.65048761,0.383781654,0.56713329,0.600215996,1,1.367170237
86,1072,2,B,3,20,0.533775062,0.516792993,0.550487926,0.433371569,0.483814101,0.600508491,1,0.61731451
87,1245,2,B,3,40,0.500127498,0.583796417,0.55049661,0.917160803,0.733829693,0.517092199,1,1.50072354
88,1246,2,B,3,60,0.450663501,0.46720071,0.533506646,0.450453505,0.500242759,0.550527399,1,0.734120214
89,1304,2,B,2,63,0.483810154,0.450456663,0.550311087,0.58369063,0.583876942,0.683808733,1,1.667064291
90,1394,2,B,2,57,0.500546701,0.533987032,0.483773049,0.533951507,0.46718571,1.417497902,1,1.467160842
91,1399,2,B,1,32,0.417448956,0.600492307,0.717103014,0.917189223,0.450481926,1.050496215,1,1.434071031
92,1481,3,B,1,23,0.850445137,0.767135027,1.250462031,0.917081067,0.817183223,2.417541322,1,9.217128277
93,1619,3,B,3,43,0.817213618,0.60037073,0.683840706,0.583777865,0.600800591,0.500439729,1,1.650439058
94,1630,3,B,3,30,0.600449282,0.717159066,0.850494478,0.58377076,0.615808616,0.701646971,1,1.617134908
95,1727,3,B,2,52,0.683819785,0.766812138,0.967235446,0.783798154,0.683803207,0.98377897,1,1.133735668
96,1821,3,B,2,53,0.683700182,0.700213312,0.667386786,1.300516544,0.517206276,3.70056699,1,4.351119336
97,1822,3,B,3,29,0.567057897,0.800416677,0.600482439,0.567110396,0.600435466,0.550491478,1,1.083820891
98,1840,3,B,1,18,0.717097883,1.483824759,1.250613608,1.133833956,1.567073686,0.650426032,1,1.40036702
99,1970,3,B,3,28,0.683346109,0.834007006,0.58385089,0.567440785,0.533845324,0.500462623,1,1.13409132
100,1981,3,B,3,48,0.867068791,0.633788167,0.683749918,0.517239038,0.56719921,0.600493886,1,0.917083041
101,2089,3,B,1,19,0.817177302,1.083743918,0.733749168,1.183830838,0.800612068,1.183816627,1,2.750557556
102,2184,3,B,3,24,0.583730103,0.683855706,0.583826417,0.55051003,0.633730142,0.567211841,1,2.033561119
103,2207,3,B,2,51,0.783726708,0.933877613,0.850368954,1.283894468,0.500101051,2.467178605,1,1.983856337
104,2240,3,B,3,63,0.683802417,0.683772023,0.650603266,0.633867113,0.517030226,0.567136843,1,1.817102304
105,2361,3,B,1,25,1.067230394,0.833810825,0.750531899,0.650454453,0.567188947,1.33387635,1,2.033911244
106,2362,3,B,2,34,1.217219854,0.767164632,1.250501504,1.617021621,0.583541817,0.683502422,1,1.917330537
107,2472,3,B,3,35,0.850531583,0.717323668,0.550401085,0.600533754,0.517204302,0.533908086,1,1.016787467
108,2499,3,B,1,17,0.700383046,0.667157447,0.65048011,1.066835269,0.500490649,1.116729916,1,1.900504781
109,2505,3,B,3,14,1.250462426,0.733891666,0.767111343,0.817150461,1.716849203,0.617144777,1,1.850829604
110,2651,3,B,3,65,0.700562648,0.583182218,0.618182522,0.566813954,0.617147935,0.517372852,1,1.450447189
111,2740,3,B,3,15,0.850577766,0.683871495,0.650308402,0.483731208,0.650459189,0.617095041,1,2.333821483
112,2750,3,B,1,33,0.68388531,0.783783944,0.66716179,0.650381822,0.65052432,0.80039023,1,1.200570937
113,2857,3,B,2,48,0.650446558,0.767442127,0.633774747,0.667125869,0.950643765,0.700526333,1,1.917063304
114,2960,3,B,3,33,0.56711908,0.567035792,0.517048384,0.617032673,0.517144303,0.684019519,1,0.917168697
115,2965,3,B,2,54,0.667115606,0.633841851,1.967198342,0.56733855,0.650575635,1.116756757,1,2.917264617
116,3008,3,B,1,3,0.983689367,0.633802378,2.18364492,0.700472255,0.700458045,0.700446203,1,2.683792549
117,3074,3,B,2,43,0.700478571,0.650510899,1.100572437,0.633768036,0.633476331,2.700572911,1,2.417154487
118,3094,3,B,3,3,0.767208447,0.550471347,0.500479597,0.467104001,0.533848087,0.450359559,1,1.167244288
119,3181,3,B,3,10,0.81711454,0.517163645,0.683699787,0.550410164,0.483774628,0.733793378,1,1.000509596
120,3271,3,B,2,42,0.867124053,0.617211486,1.983828706,0.917132777,0.583852864,0.583750234,1,2.400550964
121,3280,3,B,3,4,1.067206315,0.600499412,0.450549425,0.617557664,0.467147421,0.517327458,1,1.150492347
122,3384,3,B,3,9,0.733986796,0.900472018,0.583833917,0.650484452,0.500133813,0.51718575,1,1.166711403
123,3489,3,B,3,1,0.967124132,1.050457531,0.667196131,0.583791286,1.067237893,0.683832022,1,1.350544214
124,3496,3,B,2,37,0.584016677,0.867185236,0.600446913,0.783758286,0.567113554,0.66679627,1,3.48423212
125,3624,3,B,3,8,0.650577608,0.450509952,0.583808654,0.483790023,0.550445295,0.467210578,1,1.200484886
126,3654,3,B,1,2,0.567003424,0.567095396,0.583856811,1.166986924,0.850529609,0.633797246,1,1.500633936
127,3660,3,B,1,32,0.55048911,0.700563437,0.850488557,0.600693225,1.067246183,1.350358296,1,1.884019676
128,3815,3,B,3,20,0.683905442,0.58381497,0.533787694,0.583961809,0.483599368,0.483416213,1,1.76698424
129,3924,3,B,2,63,0.634030137,0.55045911,0.583824838,1.050338718,0.51714075,0.78380368,1,4.333830167
130,3931,3,B,2,57,0.700514491,0.617016884,0.667248235,1.133839877,0.467435179,1.150503399,1,1.317211249
131,3942,3,B,3,16,0.483640815,0.467152158,0.466973345,0.467189263,0.417124488,0.500501307,1,1.917094883
132,4033,3,B,3,39,0.583773918,0.550483584,0.484020545,0.43410103,0.683931099,0.467154526,1,0.700461597
133,4051,3,B,2,62,0.600587437,0.750341244,0.600389283,0.667221788,0.817088093,1.117383193,1,4.367076291
134,4199,3,B,3,40,0.417167118,0.433774194,0.417135935,0.417313958,0.400433334,0.467150974,1,1.917234617
135,4252,3,B,3,55,0.950693896,0.500489465,0.383462713,0.40064412,0.450481926,0.617126619,1,1.883396398
136,4267,3,B,1,30,0.917098435,0.667165342,1.300567858,0.933641959,2.183828864,0.900041762,1,1.582966695
137,4406,3,B,1,26,0.517042068,0.601659523,0.817105462,0.650280377,1.450557319,0.700489623,1,4.267426732
138,83,3,B,3,60,0.467140711,0.400448334,0.45054074,0.383732313,0.400501228,0.466955583,1,1.717068673
139,84,4,B,3,65,0.600424808,0.817396378,0.683830443,0.450434953,0.4337588,0.450481531,1,1.183839522
140,97,4,B,1,33,0.617372141,1.033790062,0.70043515,0.533790852,1.650703922,1.1838561,1,5.650261035
141,280,4,B,3,33,0.667329155,0.583677604,0.583700498,0.417074357,0.467158869,0.533825193,1,1.100471386
142,286,4,B,1,25,1.01758048,1.000544727,1.21718946,0.800456939,1.11719846,1.033944402,1,5.067282498
143,382,4,B,3,35,0.50045236,0.633781852,0.433818009,0.350453821,0.383780865,0.350524478,1,0.88378047
144,392,4,B,3,63,0.600502175,0.717151566,0.683917678,0.600572043,0.433446568,0.300488123,1,0.700464755
145,395,4,B,2,34,0.73371759,0.917163566,0.800439571,0.983750155,0.750535056,0.784014071,1,2.08393852
146,570,4,B,1,17,0.450560477,0.467177421,0.583760497,0.533791246,2.467214131,0.767173316,1,3.217288932
147,576,4,B,3,15,0.53393177,0.550180036,0.600344678,0.55040148,0.683802417,0.467073607,1,1.483766339
148,598,4,B,2,54,0.417285537,0.550523057,3.533596645,0.934080899,0.883872048,1.983752918,1,3.000203681
149,717,4,B,3,14,0.600642304,0.667136527,0.783826969,0.600456781,0.450705738,0.367988117,1,1.867059712
150,830,4,B,2,48,0.533677564,0.583795628,0.617102146,1.083610105,1.267109764,1.067151842,1,4.617266353
151,838,4,B,3,10,0.750849261,0.633867903,0.466794533,0.550624107,0.450535609,0.450174431,1,1.183756234
152,891,4,B,2,37,0.517100093,1.267226209,1.050515162,1.150525109,0.91717146,2.150441426,1,5.283856969
153,1018,4,B,3,1,0.400437676,0.550401085,0.367058923,0.367166289,0.317383746,0.350428164,1,1.017146671
155,1071,4,B,2,42,0.400517017,0.433796299,0.483968046,0.550395954,0.933935244,1.467102027,1,5.850807894
156,1229,4,B,1,3,0.467154921,0.46712729,0.667190605,0.417467903,1.433626565,1.983842127,1,2.867126816
157,1243,4,B,3,8,0.783857364,0.750548082,0.734006532,0.867120501,0.633680406,0.633824088,1,2.583835101
158,1313,4,B,2,43,0.650459979,0.750437163,0.667213499,1.18376176,0.583875363,3.483734366,1,3.500607884
159,1402,4,B,3,4,0.483841338,0.467152158,0.433623802,0.633771589,0.450414822,0.400472807,1,1.300550885
160,1411,4,B,1,2,0.617119119,0.600452045,0.58372655,0.566995135,1.833806483,1.033846903,1,8.100119287
161,1472,4,B,3,9,0.617195697,0.500098288,0.517441929,0.550488715,0.617166487,0.50065012,1,3.7504269
162,1614,4,B,3,3,0.367091291,0.466738086,0.367212473,0.367139448,0.350445137,0.350543819,1,1.28392881
163,1629,4,B,3,43,0.500504465,0.40042465,0.383857443,0.350468031,0.333821088,0.367188394,1,1.050519504
164,1725,4,B,2,53,0.383401529,0.617158987,0.550455558,0.567084738,1.10052507,1.083757339,1,4.817084541
165,1803,4,B,1,23,0.433792746,0.433849193,0.483853574,0.450485084,0.667170474,1.16708837,1,1.850471979
166,1811,4,B,3,24,0.367329313,0.683820575,0.483874495,0.400502017,0.367164711,0.417148961,1,2.01714825
167,1828,4,B,2,51,0.383821127,0.400657541,1.733827719,0.867068002,0.567128553,1.967132816,1,2.150402348
168,1974,4,B,1,18,0.350501189,0.650390506,0.533698485,0.700533833,1.550606345,0.733779562,1,3.250612029
169,1984,4,B,2,52,0.433447358,0.517015621,0.6504434,0.533785325,0.733785089,2.400444782,1,4.300488912
170,2093,4,B,3,30,0.333721221,0.600557832,0.53380822,0.516813125,0.400590437,0.40062991,1,1.966978477
171,2199,4,B,3,48,0.617282932,0.617230038,0.517022726,0.450545872,0.550305955,0.45051982,1,1.800685093
172,2204,4,B,1,19,0.666789559,0.633832377,0.73375351,0.682590991,0.985057895,1.617320431,1,4.867331681
173,2232,4,B,3,29,1.366944451,0.667137316,0.81718046,0.667313366,0.517218907,0.617214249,1,2.800437992
174,2355,4,B,3,28,0.567183026,0.433973138,0.46711308,0.500538017,0.567235525,0.450513109,1,1.733881797
175,2364,4,B,1,26,0.767260551,0.750436374,0.617188592,0.667127448,0.917240143,0.683815838,1,6.350586845
176,2474,4,B,1,30,0.867335629,0.800453387,0.717249459,0.650152879,0.883837311,0.967267814,1,2.117296353
177,2497,4,B,3,55,0.600452045,0.550446874,0.483836206,0.466697035,0.417068831,0.467190052,1,1.300468387
178,2507,4,B,3,60,0.417156066,0.467175052,0.433786036,0.400559648,0.383909547,0.417124488,1,1.433755642
179,2646,4,B,3,39,0.583811022,0.450478373,0.567103685,0.583849311,0.917088962,0.517162855,1,1.133723432
180,2751,4,B,3,20,0.500578674,0.600559411,0.566907505,0.467182552,0.483835022,0.600510859,1,2.683792549
181,2753,4,B,2,63,0.450532846,0.483820022,0.65050182,0.650518004,0.917204618,1.783985256,1,11.0638523
182,2877,4,B,3,16,0.500246311,0.533852035,0.550335955,0.467293471,0.450474821,0.467058212,1,2.584022598
183,2953,4,B,2,57,0.466839927,0.550523057,0.500531701,0.967321497,0.58379168,2.733968243,1,4.434147214
184,2974,4,B,2,62,0.517145882,0.667090738,0.617101356,1.400483465,0.617283327,1.983842916,1,7.317303616
185,3015,4,B,1,32,0.433788799,0.533842956,0.533795194,0.567179079,3.050531346,0.78384868,1,4.850561187
186,3073,4,B,3,40,0.467102817,0.467110711,0.500434598,0.333813983,0.367184052,0.350109616,1,1.600403098
187,3085,5,B,3,10,0.784009335,0.867124053,0.867153263,0.91690107,0.850460137,0.867152079,1,1.300417861
188,3188,5,B,3,8,1.000618147,0.867129974,0.867164316,0.733806404,0.833431489,1.350494478,1,1.217135777
189,3265,5,B,3,3,0.767100291,0.71714604,1.350533556,1.11721346,0.783783944,0.7504569,1,1.767378575
190,3279,5,B,3,4,0.63380593,0.700572911,0.93388985,0.817109409,0.667161395,0.633298702,1,1.433768668
191,3407,5,B,3,9,0.583643262,0.68371005,0.767042265,0.717222617,0.633815404,0.683797286,1,2.283804865
192,3485,5,B,1,2,0.483649499,0.533826772,0.683887284,0.700468702,0.600759934,1.866822085,1,3.417358562
