Sentences,Question,word5,word4,word6,word1,word3,Ans,word2,lenth,Type,ID,practicetrials.thisRepN,practicetrials.thisTrialN,practicetrials.thisN,practicetrials.thisIndex,key_resp_12.keys,key_resp_12.rt,Atests1.keys,Atests1.rt,Atests2.keys,Atests2.rt,Atests3.keys,Atests3.rt,Atests4.keys,Atests4.rt,Atests5.keys,Atests5.rt,Atests6.keys,Atests6.rt,key_resp_8.keys,key_resp_8.corr,key_resp_8.rt,expName,participant,version,Grade,Gender,frameRate,session,date,
外婆檢舉救治嬸嬸的鄰居,鄰居沒救嬸嬸？,的,嬸嬸,鄰居,外婆,救治,j,檢舉,11,1,38,0,0,0,13,space,0.466926321933,space,0.683676494336,space,0.367240884538,space,0.367056939031,space,0.650430910107,space,0.467070004685,space,0.583700138828,j,1,2.61723269383,SPR,14,B,,m,59.9881366786,001,2017_01_09_1104,
村民擔心襲擊刺客的鐵匠,鐵匠襲擊了刺客？,的,刺客,鐵匠,村民,襲擊,f,擔心,11,1,39,0,1,1,14,space,0.367092859713,space,0.383732033239,space,0.450326621693,space,0.417214457171,space,0.467189608738,space,0.417081826934,space,0.550328634825,f,1,2.63380357857,SPR,14,B,,m,59.9881366786,001,2017_01_09_1104,
敵人搜查掩護戰士的村民,村民沒掩護戰士？,的,戰士,村民,敵人,掩護,j,搜查,11,1,40,0,2,2,15,space,0.400406732719,space,0.867265555338,space,1.05049304106,space,0.667075609897,space,0.400416995777,space,0.401629220338,space,0.500508218538,j,1,3.03372597409,SPR,14,B,,m,59.9881366786,001,2017_01_09_1104,
老師調查弟弟傷害的同學,同學調查老師？,的,傷害,同學,老師,弟弟,j,調查,11,2,4,0,3,3,3,space,0.450497935744,space,0.383674796976,space,0.517057392972,space,0.467019478885,space,0.36713193827,space,0.383965715082,space,0.800406890608,j,1,1.36701509735,SPR,14,B,,m,59.9881366786,001,2017_01_09_1104,
手機是個既方便又重要的發明,手機讓人不方便?,的,又重要,發明,手機,既方便,j,是個,13,3,36,0,4,4,19,space,0.367082991397,space,0.483668915454,space,0.483743914701,space,0.617151378858,space,0.350416976042,space,0.383612429192,space,0.350486054289,j,1,1.15049544893,SPR,14,B,,m,59.9881366786,001,2017_01_09_1104,
粉絲大罵小周羞辱的導演,粉絲大罵導演？,的,羞辱,導演,粉絲,小周,f,大罵,11,2,5,0,5,5,4,space,0.817214615061,space,0.517167128703,space,0.617088221603,space,0.400399627528,space,0.467069609949,space,0.383807032478,space,0.333763197399,f,1,3.85086598465,SPR,14,B,,m,59.9881366786,001,2017_01_09_1104,
善待動物們是對生命的尊重,應該善待動物?,的,生命,尊重,善待,是對,f,動物們,12,3,35,0,6,6,18,space,1.01721864134,space,0.767036176076,space,0.5337447239,space,0.683483469969,space,0.500319141509,space,0.367082991397,space,0.433499950064,f,1,1.01708206377,SPR,14,B,,m,59.9881366786,001,2017_01_09_1104,
村民援助小潘舉薦的水手,村民援助水手？,的,舉薦,水手,村民,小潘,f,援助,11,2,7,0,7,7,6,space,0.400506994862,space,0.433756131679,space,0.400389759212,space,0.350390134205,space,0.350394476271,space,0.383876110733,space,0.367033255054,f,1,0.833800894383,SPR,14,B,,m,59.9881366786,001,2017_01_09_1104,
阿姨親手製作了一個生日蛋糕,阿姨沒做蛋糕?,生日,一個,蛋糕,阿姨,製作了,j,親手,13,3,38,0,8,8,21,space,0.383781374847,space,0.467026189341,space,0.317148497314,space,0.350382239543,space,0.333782144575,space,0.300450113864,space,0.400394890734,j,1,0.767108017455,SPR,14,B,,m,59.9881366786,001,2017_01_09_1104,
強盜綁架誣陷主人的管家,強盜綁架主人？,的,主人,管家,強盜,誣陷,j,綁架,11,1,34,0,9,9,9,space,0.333776618318,space,0.333812539,space,0.350128031598,space,0.350528290699,space,0.36715562224,space,0.350481317488,space,0.667173898364,j,1,2.91730702202,SPR,14,B,,m,59.9881366786,001,2017_01_09_1104,
小劉愛慕領隊欽佩的組長,小劉討厭組長？,的,欽佩,組長,小劉,領隊,j,愛慕,11,2,6,0,10,10,5,space,0.383837426911,space,0.383697296747,space,0.400379890889,space,0.36716785896,space,0.350469870238,space,0.350111452812,space,0.400380285617,j,1,1.73375940797,SPR,14,B,,m,59.9881366786,001,2017_01_09_1104,
聽說吃黑巧克力可以提高智商,吃巧克力沒有益處?,提高,可以,智商,聽說,黑巧克力,j,吃,13,3,40,0,11,11,23,space,0.433880867262,space,0.417189589003,space,0.383817295537,space,0.367059702163,space,0.400472653106,space,0.350527106501,space,0.383744664694,j,1,1.21753450656,SPR,14,B,,m,59.9881366786,001,2017_01_09_1104,
小李暗戀招待船長的賓客,賓客招待過船長？,的,船長,賓客,小李,招待,f,暗戀,11,1,37,0,12,12,12,space,0.400441863945,space,0.500024276073,space,0.400416206307,space,0.433841788712,space,0.483721809658,space,0.383837032176,space,0.45039964727,f,1,2.18366721811,SPR,14,B,,m,59.9881366786,001,2017_01_09_1104,
爺爺一句話就把大家逗開心了,爺爺逗大家開心?,逗,大家,開心了,爺爺,就把,f,一句話,12,3,33,0,13,13,16,space,0.367349830798,space,0.433762447406,space,0.383753348819,space,0.383717033394,space,0.400107525231,space,0.333927800988,space,0.417038801053,f,1,0.633759763223,SPR,14,B,,m,59.9881366786,001,2017_01_09_1104,
名嘴毀謗徐總賞識的詩人,名嘴稱讚詩人？,的,賞識,詩人,名嘴,徐總,j,毀謗,11,2,8,0,14,14,7,space,0.383678744307,space,0.383692559961,space,0.417094063647,space,0.450376358029,space,0.71705431406,space,0.400263444702,space,1.26704189971,j,1,1.63374318444,SPR,14,B,,m,59.9881366786,001,2017_01_09_1104,
商人質疑賄賂小陳的企劃員,商人質疑小陳？,的,小陳,企劃員,商人,賄賂,j,質疑,12,1,36,0,15,15,11,space,0.417195904723,space,0.567108727977,space,0.600432074571,space,0.533712355806,space,0.483815361345,space,0.35052315917,space,1.4671386882,j,1,2.50052084999,SPR,14,B,,m,59.9881366786,001,2017_01_09_1104,
和朋友們一起喝下午茶很開心,喝下午茶很開心?,下午茶,喝,很開心,和,一起,f,朋友們,13,3,39,0,16,16,22,space,0.367150490711,space,0.317143365784,space,0.483508653924,space,0.3171086293,space,0.300354588508,space,0.350470659709,space,0.400290286532,f,1,0.917079655897,SPR,14,B,,m,59.9881366786,001,2017_01_09_1104,
小紅取笑小張崇拜的作家,小紅取笑作家？,的,崇拜,作家,小紅,小張,f,取笑,11,2,1,0,17,17,0,space,0.350066453277,space,0.500430456166,space,0.467113820036,space,0.483727335923,space,0.433754158017,space,0.40048962662,space,1.38367913904,f,1,2.23377736831,SPR,14,B,,m,59.9881366786,001,2017_01_09_1104,
每年都會頒布新的法規制度,年年都沒新制度?,法規,的,制度,每年,新,j,都會頒布,12,3,34,0,18,18,17,space,0.583912110364,space,0.617056642979,space,0.800401759087,space,0.383686244233,space,0.333766355267,space,0.400419364174,space,0.433682316638,j,1,1.48380075623,SPR,14,B,,m,59.9881366786,001,2017_01_09_1104,
證人揭發指使搶匪的殺手,證人揭發殺手？,的,搶匪,殺手,證人,指使,f,揭發,11,1,35,0,19,19,10,space,0.383810979809,space,0.517044761516,space,0.550415870792,space,0.61700019618,space,0.633681606123,space,0.433681132439,space,0.567115438433,f,1,2.50071387435,SPR,14,B,,m,59.9881366786,001,2017_01_09_1104,
