Sentences,Question,word5,word4,word6,word1,word3,Ans,word2,lenth,Type,ID,practicetrials.thisRepN,practicetrials.thisTrialN,practicetrials.thisN,practicetrials.thisIndex,key_resp_12.keys,key_resp_12.rt,Atests1.keys,Atests1.rt,Atests2.keys,Atests2.rt,Atests3.keys,Atests3.rt,Atests4.keys,Atests4.rt,Atests5.keys,Atests5.rt,Atests6.keys,Atests6.rt,key_resp_8.keys,key_resp_8.corr,key_resp_8.rt,expName,participant,version,Grade,Gender,frameRate,session,date,
治療師開導照顧小崔的飛行員,治療師開導飛行員？,的,小崔,飛行員,治療師,照顧,f,開導,13,1,49,0,0,0,8,space,1.01656806191,space,0.75563888879,space,0.788594137906,space,0.827663973265,space,0.660781228464,space,0.71738869822,space,1.47545707667,f,1,2.80943318618,SPR,24,B,,f,59.8976172448,001,2017_01_13_1733,
刑警緝拿輕視政府的逃亡者,逃亡者重視政府？,的,政府,逃亡者,刑警,輕視,j,緝拿,12,1,56,0,1,1,15,space,0.550530590801,space,0.623854848352,space,0.677596265436,space,0.694352413018,space,0.694360525318,space,0.617187122087,space,0.77191731082,j,1,2.58588678627,SPR,24,B,,f,59.8976172448,001,2017_01_13_1733,
鄰居告發表弟砍傷的疑犯,鄰居告發疑犯？,的,砍傷,疑犯,鄰居,表弟,f,告發,11,2,21,0,2,2,4,space,0.450637282833,space,0.731275488084,space,0.611346852471,space,0.594906784943,space,0.824529312667,space,1.13375443286,space,1.86128743723,f,1,2.49205698696,SPR,24,B,,f,59.8976172448,001,2017_01_13_1733,
媽媽討厭忽視小白的企業家,企業家忽視小白？,的,小白,企業家,媽媽,忽視,f,討厭,12,1,55,0,3,3,14,space,0.767078161603,space,0.648948357863,space,0.543269463335,space,0.627671845243,space,0.647349930339,space,0.400552719409,space,1.42053847178,f,1,5.75089858969,SPR,24,B,,f,59.8976172448,001,2017_01_13_1733,
博物館裡有很多珍貴的收藏品,有很多收藏品?,的,珍貴,收藏品,博物館裡,很多,j,有,13,3,56,0,4,4,23,space,0.650634819103,space,0.468140064302,space,0.850390788488,space,0.495493005219,space,0.545456484775,space,0.500600762374,space,0.691474342093,f,0,4.27442386754,SPR,24,B,,f,59.8976172448,001,2017_01_13_1733,
青年佩服督促小謝的技術員,青年佩服小謝？,的,小謝,技術員,青年,督促,j,佩服,12,1,50,0,5,5,9,space,0.833750016158,space,0.593892744917,space,1.94407606832,space,0.473781431865,space,0.513769461686,space,0.450537230892,space,0.756450120796,j,1,4.42453754517,SPR,24,B,,f,59.8976172448,001,2017_01_13_1733,
科學家協助表姐熟識的院士,科學家排斥院士？,的,熟識,院士,科學家 ,表姐,j,協助,12,2,24,0,6,6,7,space,0.467329733656,space,0.447797970788,space,0.661046531357,space,0.794493597423,space,0.673976367922,space,0.783785935695,space,0.978398393636,j,1,5.24897672095,SPR,24,B,,f,59.8976172448,001,2017_01_13_1733,
偵探跟蹤老婆迷戀的編輯,偵探跟蹤編輯？,的,迷戀,編輯,偵探,老婆,f,跟蹤,11,2,17,0,7,7,0,space,0.500564407164,space,0.460076718518,space,0.555115553987,space,0.545207106028,space,1.07610888657,space,0.55046599271,space,0.760227156992,f,1,2.72378661473,SPR,24,B,,f,59.8976172448,001,2017_01_13_1733,
每週都有寫不完的作業和報告,每週都有作業?,作業和,的,報告,每週,寫不完,f,都有,13,3,53,0,8,8,20,space,0.450542639112,space,0.495602671785,space,0.424679961463,space,0.413798635986,space,0.400382961598,space,0.509175184343,space,0.777890382116,f,1,2.28956205789,SPR,24,B,,f,59.8976172448,001,2017_01_13_1733,
週六有場精彩的戲劇要公演了,週六沒有戲劇?,戲劇,的,要公演了,週六,精彩,j,有場,13,3,54,0,9,9,21,space,0.400589375087,space,0.376493380492,space,0.377515532848,space,0.389869394654,space,0.483425177823,space,0.844214608718,space,0.972144095242,j,1,1.44306668537,SPR,24,B,,f,59.8976172448,001,2017_01_13_1733,
老闆責罵雇主同情的技工,技工責罵老闆？,的,同情,技工,老闆,雇主,j,責罵,11,2,18,0,10,10,1,space,0.383900529734,space,0.407842089786,space,0.34352761539,space,0.511754902167,space,0.631650788055,space,0.567132303826,space,3.12672285399,j,1,1.73886681705,SPR,24,B,,f,59.8976172448,001,2017_01_13_1733,
主任指責上司嘲笑的會計,主任指責會計？,的,嘲笑,會計,主任,上司,f,指責,11,2,23,0,11,11,6,space,0.433652187581,space,0.46723418856,space,0.409068552413,space,0.527988255766,space,0.860741207682,space,0.533903038551,space,1.17844340201,f,1,1.3739286855,SPR,24,B,,f,59.8976172448,001,2017_01_13_1733,
桌子上擺滿了一大堆舊的文件,桌上沒有文件?,的,舊,文件,桌子上,一大堆,j,擺滿了,12,3,52,0,12,12,19,space,0.450601228076,space,0.444530508481,space,0.569645620795,space,0.758447854765,space,0.562181084417,space,0.400353216421,space,0.794796757837,j,1,0.968717691561,SPR,24,B,,f,59.8976172448,001,2017_01_13_1733,
外婆批評農夫辱罵的木匠,外婆批評木匠？,的,辱罵,木匠,外婆,農夫,f,批評,11,2,19,0,13,13,2,space,0.517310339215,space,0.693440828589,space,0.721974262313,space,0.528273088348,space,0.495514037175,space,0.633760291763,space,1.99485228217,j,0,4.52168348071,SPR,24,B,,f,59.8976172448,001,2017_01_13_1733,
贊助商支持拉攏貴族的青年,青年排斥貴族？,的,貴族,青年,贊助商,拉攏,j,支持,12,1,54,0,14,14,13,space,0.433857098775,space,0.586590454928,space,0.428542627677,space,0.486268996727,space,0.559295201616,space,0.400616115701,space,3.5323487781,j,1,3.52262300756,SPR,24,B,,f,59.8976172448,001,2017_01_13_1733,
阿姨看見驅趕交警的行政人員,行政人員驅趕交警？,的,交警,行政人員,阿姨,驅趕,f,看見,13,1,53,0,15,15,12,space,0.700500650331,space,0.493065618764,space,0.394076684257,space,0.372430610369,space,0.413626774985,space,0.417200402255,space,3.70566098734,f,1,1.66562097857,SPR,24,B,,f,59.8976172448,001,2017_01_13_1733,
音樂可以讓人身心得到放鬆,音樂會讓人放鬆?,得到,身心,放鬆,音樂,讓人,f,可以,12,3,51,0,16,16,18,space,0.517097315693,space,0.458918158998,space,0.447334066252,space,0.362101223131,space,0.374515476666,space,0.311538333277,space,0.544859177637,f,1,1.05538551397,SPR,24,B,,f,59.8976172448,001,2017_01_13_1733,
小張欽佩袒護隊長的消防員,校長欽佩隊長？,的,隊長,消防員,小張,袒護,j,欽佩,12,1,52,0,17,17,11,space,0.400554822612,space,0.361241016741,space,0.327217044527,space,0.394251549835,space,0.628843324361,space,0.66684023026,space,0.6908629135,j,1,1.78621091852,SPR,24,B,,f,59.8976172448,001,2017_01_13_1733,
每個人的相處方式都不一樣,相處方式都一樣?,都,方式,不一樣,每個人,相處,j,的,12,3,50,0,18,18,17,space,0.467523227533,space,0.374165144603,space,0.350138254958,space,0.359791615527,space,0.34409998465,space,0.399578039171,space,0.955581441536,j,1,2.53717620952,SPR,24,B,,f,59.8976172448,001,2017_01_13_1733,
小王關注資助航海家的演員,小王關注演員？,的,航海家,演員,小王,資助,f,關注,12,1,51,0,19,19,10,space,0.267419329743,space,0.359419650631,space,0.359322603239,space,0.310151727419,space,0.472057113133,space,0.383474182236,space,0.647247775196,f,1,1.13978008402,SPR,24,B,,f,59.8976172448,001,2017_01_13_1733,
校園門口的那棵樹長滿了新葉,樹長滿了新葉?,長滿了,樹,新葉,校園門口,那棵,f,的,13,3,49,0,20,20,16,space,0.317255115355,space,0.28210112697,space,0.300850201209,space,0.303497221234,space,0.2962949832,space,0.444015826841,space,0.292383943495,f,1,2.17016703267,SPR,24,B,,f,59.8976172448,001,2017_01_13_1733,
親近大自然的最好方式是旅遊,旅遊能親近自然?,是,最好方式,旅遊,親近,的,f,大自然,13,3,55,0,21,21,22,space,0.38388971331,space,0.359184393339,space,0.326047969051,space,0.350704615092,space,0.368630439043,space,0.363873614857,space,0.310679328686,f,1,1.67553393339,SPR,24,B,,f,59.8976172448,001,2017_01_13_1733,
同伴欺負小郭取笑的廚師,同伴關心廚師？,的,取笑,廚師,同伴,小郭,j,欺負,11,2,22,0,22,22,5,space,0.300652801408,space,0.276016285934,space,0.244347290223,space,0.244991768996,space,0.276136468456,space,0.400122766441,space,1.34199048094,j,1,1.03274823475,SPR,24,B,,f,59.8976172448,001,2017_01_13_1733,
妹妹迷戀表哥結識的中醫師,中醫師迷戀妹妹？,的,結識,中醫師,妹妹,表哥,j,迷戀,12,2,20,0,23,23,3,space,0.234009790671,space,0.232512015995,space,0.299307658541,space,0.276359106574,space,0.314022806429,space,0.500630507551,space,0.822554713843,j,1,1.15296891388,SPR,24,B,,f,59.8976172448,001,2017_01_13_1733,
朋友們推薦了許多好聽的歌曲,朋友推薦了歌曲?,的,好聽,歌曲,朋友們,許多,f,推薦了,13,3,57,0,0,0,16,space,0.767361191451,space,0.352194277439,space,0.309008491196,space,0.309931793425,space,0.307319926767,space,0.300606230681,space,0.326769064181,f,1,0.889230774774,SPR,24,B,,f,59.8976172448,001,2017_01_13_1733,
媽媽的拿手菜是糖醋排骨,媽媽有拿手菜?,糖醋,是,排骨,媽媽,拿手菜,f,的,11,3,59,0,1,1,18,space,0.333853823802,space,0.516282778655,space,0.300257701369,space,0.43930767657,space,0.233611385614,space,0.399429012832,space,0.341420214871,f,1,1.022951857,SPR,24,B,,f,59.8976172448,001,2017_01_13_1733,
上司懲罰責罵小明的管理員,上司懲罰管理員？,的,小明,管理員,上司,責罵,f,懲罰,12,1,59,0,2,2,10,space,0.283890945182,space,0.549145487254,space,0.293130577411,space,0.282836944476,space,0.242337237563,space,0.300486649066,space,0.373218106339,f,1,2.05748990993,SPR,24,B,,f,59.8976172448,001,2017_01_13_1733,
小明昨天吃了一碗美味的小米粥,昨天沒吃小米粥?,的,美味,小米粥,小明,吃了一碗,j,昨天,12,3,58,0,3,3,17,space,0.300617648027,space,0.329868270957,space,0.242139837763,space,0.209927016156,space,0.244162810064,space,0.26727541117,space,0.188956368031,j,1,2.43524100051,SPR,24,B,,f,59.8976172448,001,2017_01_13_1733,
教授排斥支持小林的研究員,研究員不支持小林？,的,小林,研究員,教授,支持,j,排斥,12,1,64,0,4,4,15,space,0.300608634338,space,0.305025642447,space,0.233072367002,space,0.232912524254,space,0.226831589127,space,0.250522268165,space,0.289411228834,f,0,1.91685502774,SPR,24,B,,f,59.8976172448,001,2017_01_13_1733,
朋友毆打駕駛員碰見的盜賊,朋友幫助盜賊？,的,碰見,盜賊,朋友,駕駛員,j,毆打,12,2,32,0,5,5,7,space,0.650367713446,space,0.601150266913,space,0.54173953984,space,0.555202385862,space,0.809073239521,space,1.16703207161,space,1.05373841252,j,1,0.913023008034,SPR,24,B,,f,59.8976172448,001,2017_01_13_1733,
我今天學會了一個新的技能,我沒學會技能?,新的,一個,技能,我,學會了,j,今天,12,3,60,0,6,6,19,space,2.5999153915,space,0.448251359339,space,0.393296399241,space,0.41121561316,space,1.03076972999,space,0.529673214711,space,0.564125637597,j,1,1.43301882569,SPR,24,B,,f,59.8976172448,001,2017_01_13_1733,
小明認識捧紅大姑姑的明星,小明認識大姑姑？,的,大姑姑,明星,小明,捧紅,j,認識,12,1,60,0,7,7,11,space,0.617183817056,space,0.415045529648,space,0.363065086945,space,0.34369857503,space,0.693143076394,space,0.367169920966,space,0.610614039542,j,1,1.14858585734,SPR,24,B,,f,59.8976172448,001,2017_01_13_1733,
警衛攔住責備治療師的婦女,婦女沒責備治療師？,的,治療師,婦女,警衛,責備,j,攔住,12,1,62,0,8,8,13,space,0.467216161182,space,0.438522283788,space,0.875861671127,space,0.813668418225,space,0.649165587776,space,0.483840708883,space,0.576190159991,j,1,5.91409173112,SPR,24,B,,f,59.8976172448,001,2017_01_13_1733,
店長錯怪顧客熟悉的職工,店長錯怪職工？,的,熟悉,職工,店長,顧客,f,錯怪,11,2,25,0,9,9,0,space,0.417106359426,space,0.44404887702,space,0.345863062234,space,0.309314355705,space,0.357128070391,space,0.383842241208,space,0.326365851826,f,1,1.16798271534,SPR,24,B,,f,59.8976172448,001,2017_01_13_1733,
熱鬧的夜市有很多美味的食物,夜市很多美食?,的,美味,食物,熱鬧的,有很多,f,夜市,13,3,61,0,10,10,20,space,0.417117175864,space,0.355736056343,space,0.281080777379,space,0.297980242598,space,0.266598783564,space,0.283852787223,space,0.278476121675,f,1,0.937379498238,SPR,24,B,,f,59.8976172448,001,2017_01_13_1733,
童年的回憶總是美好而快樂的,童年回憶很痛苦?,而,美好,快樂的,童年的,總是,j,回憶,13,3,62,0,11,11,21,space,0.467216762088,space,0.324356400073,space,0.261385265811,space,0.292225302561,space,0.280058925491,space,0.523048453688,space,0.37387520427,j,1,0.933183025059,SPR,24,B,,f,59.8976172448,001,2017_01_13_1733,
政府豁免犯人檢舉的同伴,同伴豁免政府？,的,檢舉,同伴,政府,犯人,j,豁免,11,2,26,0,12,12,1,space,0.284089847264,space,0.232786933513,space,0.427488626985,space,0.159683210892,space,0.328792637389,space,0.367324055042,space,0.329992359402,j,1,2.13982575337,SPR,24,B,,f,59.8976172448,001,2017_01_13_1733,
每個人都應該要遵守交通規則,交通規則要遵守?,交通,遵守,規則,每個人,要,f,都應該,13,3,63,0,13,13,22,space,0.35064993205,space,0.344392028172,space,0.224773763926,space,0.217395158033,space,0.246314978547,space,0.226957179868,space,0.277329279968,f,1,1.91888971781,SPR,24,B,,f,59.8976172448,001,2017_01_13_1733,
律師帮助上尉惹怒的服務員,律師無視服務員？,的,惹怒,服務員,律師,上尉,j,幫助,12,2,30,0,14,14,5,space,0.267318977334,space,0.208691239386,space,0.34747861576,space,0.240387576618,space,0.263301275656,space,0.334084874703,space,0.272549320653,j,1,0.93241926514,SPR,24,B,,f,59.8976172448,001,2017_01_13_1733,
大叔喜歡孩子親近的阿姨,大叔喜歡阿姨？,的,親近,阿姨,大叔,孩子,f,喜歡,11,2,27,0,15,15,2,space,0.267248370103,space,0.209162655316,space,0.280270446732,space,0.245697240389,space,0.266824125807,space,0.383835030269,space,0.399823211512,f,1,2.49032635863,SPR,24,B,,f,59.8976172448,001,2017_01_13_1733,
外婆感激叔叔協助的警察,外婆感激警察？,的,協助,警察,外婆,叔叔,f,感激,11,2,31,0,16,16,6,space,0.300605930228,space,0.279371181023,space,0.189051612688,space,0.249766620575,space,0.249849846965,space,0.300607132056,space,0.292586150579,f,1,2.6793106691,SPR,24,B,,f,59.8976172448,001,2017_01_13_1733,
助手賄賂小吳批評的評論家,助手賄賂評論家？,的,批評,評論家,助手,小吳,f,賄賂,12,2,29,0,17,17,4,space,0.217379834765,space,0.248591235504,space,0.225097956267,space,0.242080948345,space,0.432514660017,space,0.35058713668,space,0.723850912385,f,1,1.00723198321,SPR,24,B,,f,59.8976172448,001,2017_01_13_1733,
隔壁的大伯擅長修理各種電器,大伯不會修電器?,各種,修理,電器,隔壁的,擅長,j,大伯,13,3,64,0,18,18,23,space,0.234178947576,space,0.20406901963,space,0.19599635966,space,0.226932241989,space,0.242686067329,space,0.243877977482,space,0.276935682225,f,0,0.898947531619,SPR,24,B,,f,59.8976172448,001,2017_01_13_1733,
海關扣留侮辱空服員的旅客,海關扣留空服員？,的,空服員,旅客,海關,侮辱,j,扣留,12,1,58,0,19,19,9,space,0.267285025766,space,0.331504555972,space,0.261133783875,space,0.259500503409,space,0.214500561997,space,0.250634338372,space,0.382746777541,j,1,1.55440677758,SPR,24,B,,f,59.8976172448,001,2017_01_13_1733,
鄰居尊敬市民信任的委員,委員尊敬鄰居？,的,信任,委員,鄰居,市民,j,尊敬,11,2,28,0,20,20,3,space,0.250570641641,space,0.248974617745,space,0.222072361299,space,0.210034279065,space,0.242375695976,space,0.233793762585,space,0.841899893363,j,1,1.22400159121,SPR,24,B,,f,59.8976172448,001,2017_01_13_1733,
