Sub,Type,ID,Position,RT,ACC
1,2,54,3,0.48374976,1
1,1,25,3,0.417211723,1
1,2,34,3,0.350376059,1
1,1,17,3,0.467292682,1
1,1,33,3,0.400529649,1
1,1,30,3,0.317116909,1
1,1,26,3,0.367488784,1
1,1,32,3,0.483893442,1
1,2,63,3,0.333845166,1
1,1,3,3,0.550507662,1
1,2,42,3,0.533540988,1
1,2,43,3,0.36720221,1
1,1,19,3,,1
1,2,51,3,0.417131593,1
1,1,18,3,0.450501662,1
1,2,52,3,0.300469571,1
2,2,52,3,0.550598845,1
2,1,23,3,0.867176947,1
2,1,19,3,0.600456387,1
2,2,53,3,0.683806759,1
2,1,18,3,0.617100172,1
2,2,51,3,0.567162105,1
2,1,3,3,0.75040598,1
2,2,43,3,0.433790773,1
2,1,16,3,0.817238091,1
2,2,42,3,,1
2,1,2,3,0.533724932,1
2,2,37,3,0.650397217,1
2,2,54,3,,1
2,1,17,3,0.617190171,1
2,2,34,3,1.467182947,1
2,1,33,3,0.633742773,1
2,2,48,3,0.617020831,1
2,1,25,3,0.583795233,1
2,2,62,3,0.800274574,1
2,1,30,3,0.933858666,1
2,1,26,3,0.55052503,1
2,2,63,3,0.550311087,1
2,2,57,3,0.483773049,1
2,1,32,3,0.717103014,1
3,1,23,3,1.250462031,1
3,2,52,3,0.967235446,1
3,2,53,3,0.667386786,1
3,1,18,3,1.250613608,1
3,1,19,3,0.733749168,1
3,2,51,3,0.850368954,1
3,1,25,3,0.750531899,1
3,2,34,3,1.250501504,1
3,1,17,3,0.65048011,1
3,1,33,3,0.66716179,1
3,2,48,3,0.633774747,1
3,2,54,3,,1
3,1,3,3,,1
3,2,43,3,1.100572437,1
3,2,42,3,,1
3,2,37,3,0.600446913,1
3,1,2,3,0.583856811,1
3,1,32,3,0.850488557,1
3,2,63,3,0.583824838,1
3,2,57,3,0.667248235,1
3,2,62,3,0.600389283,1
3,1,30,3,1.300567858,1
3,1,26,3,0.817105462,1
4,1,33,3,0.70043515,1
4,1,25,3,1.21718946,1
4,2,34,3,0.800439571,1
4,1,17,3,0.583760497,1
4,2,54,3,,1
4,2,48,3,0.617102146,1
4,2,37,3,1.050515162,1
4,2,42,3,0.483968046,1
4,1,3,3,0.667190605,1
4,2,43,3,0.667213499,1
4,1,2,3,0.58372655,1
4,2,53,3,0.550455558,1
4,1,23,3,0.483853574,1
4,2,51,3,1.733827719,1
4,1,18,3,0.533698485,1
4,2,52,3,0.6504434,1
4,1,19,3,0.73375351,1
4,1,26,3,0.617188592,1
4,1,30,3,0.717249459,1
4,2,63,3,0.65050182,1
4,2,57,3,0.500531701,1
4,2,62,3,0.617101356,1
4,1,32,3,0.533795194,1
5,1,2,3,0.683887284,1
5,1,3,3,0.783822233,1
5,2,42,3,0.833733853,1
5,2,43,3,0.717290906,1
5,1,19,3,0.800526412,1
5,2,52,3,0.700456071,1
5,2,53,3,0.733561277,1
5,1,18,3,0.750117432,1
5,1,23,3,0.63379922,1
5,2,51,3,,1
5,1,25,3,0.633737247,1
5,1,17,3,0.650447742,1
5,2,34,3,0.717195381,1
5,2,54,3,0.600515991,1
5,1,33,3,0.783607894,1
5,2,48,3,0.633833956,1
5,1,30,3,0.683693077,1
5,2,57,3,0.650360507,1
5,2,63,3,0.650493136,1
5,1,26,3,0.567161316,1
5,2,62,3,1.900073341,1
5,1,32,3,0.700430808,1
6,1,34,3,0.600476123,1
6,1,48,3,0.600538885,1
6,2,17,3,0.53369059,1
6,2,25,3,0.417168303,1
6,2,33,3,0.500414466,1
6,1,54,3,0.417053041,1
6,1,53,3,0.350603029,1
6,2,18,3,0.500411309,1
6,2,19,3,0.366988661,1
6,2,23,3,0.383766655,1
6,2,3,3,0.383378635,1
6,2,2,3,0.333797009,1
6,1,42,3,0.30051378,1
6,2,16,3,0.683861232,1
6,1,43,3,0.617366615,1
6,2,32,3,0.46722242,1
6,1,57,3,0.517233907,1
6,1,62,3,,1
6,2,30,3,0.467214131,1
6,1,63,3,0.517216933,1
7,2,32,3,0.483737524,1
7,1,62,3,0.567181447,1
7,1,63,3,0.617160566,1
7,1,57,3,0.550497399,1
7,2,30,3,0.500466571,1
7,2,26,3,0.500462623,1
7,2,18,3,0.450471268,1
7,1,53,3,0.43380893,1
7,1,52,3,0.617166487,1
7,1,51,3,0.617238328,1
7,1,43,3,0.583784181,1
7,1,37,3,0.60047336,1
7,1,42,3,0.517267459,1
7,2,16,3,0.517159303,1
7,2,3,3,0.516998648,1
7,2,2,3,0.500585384,1
7,2,25,3,0.483972783,1
7,1,54,3,0.51714825,1
7,1,48,3,0.450437321,1
7,1,34,3,0.467257946,1
7,2,33,3,0.717348536,1
8,2,3,3,0.635180774,1
8,2,16,3,0.417179355,1
8,2,2,3,0.683679656,1
8,1,43,3,0.883803759,1
8,1,37,3,0.600718093,1
8,1,42,3,0.584290224,1
8,2,19,3,0.650508531,1
8,1,51,3,0.550377796,1
8,2,18,3,0.58494745,1
8,1,53,3,0.417075541,1
8,1,52,3,0.584729164,1
8,2,33,3,0.785129183,1
8,2,25,3,0.56871221,1
8,2,17,3,0.400563201,1
8,1,48,3,0.516920491,1
8,1,54,3,0.817977025,1
8,1,34,3,0.46714979,1
8,1,63,3,0.483316347,1
8,2,32,3,0.600598884,1
8,2,26,3,0.900230049,1
8,2,30,3,0.582971827,1
9,1,37,3,1.017247722,1
9,2,16,3,0.933981822,1
9,1,43,3,2.143357209,1
9,2,2,3,1.217156698,1
9,1,42,3,1.283832496,1
9,2,3,3,1.200986193,1
9,1,52,3,1.01595064,1
9,1,51,3,1.134975515,1
9,2,23,3,0.750522425,1
9,2,19,3,0.633820141,1
9,2,18,3,1.333816746,1
9,1,53,3,1.300478255,1
9,2,30,3,1.050476084,1
9,1,57,3,1.550331613,1
9,1,62,3,1.300847327,1
9,2,32,3,0.96712808,1
9,1,63,3,1.9838816,1
9,2,26,3,1.200756855,1
9,1,48,3,0.817144145,1
9,2,25,3,0.650432742,1
9,1,54,3,0.983923836,1
9,2,33,3,0.717191434,1
9,2,17,3,1.383708235,1
9,1,34,3,1.050564898,1
10,1,37,3,0.783986046,1
10,1,43,3,0.433849193,1
10,1,42,3,0.467207815,1
10,2,3,3,0.400736882,1
10,2,16,3,0.333406622,1
10,2,2,3,0.333734642,1
10,1,48,3,0.317050199,1
10,2,33,3,0.400473597,1
10,2,25,3,0.433763931,1
10,1,54,3,0.717162618,1
10,1,63,3,0.667208368,1
10,1,62,3,0.400517412,1
10,1,57,3,0.317164276,1
10,2,30,3,0.367164316,1
10,2,32,3,0.36702616,1
10,2,18,3,0.417220802,1
10,1,51,3,0.450561661,1
10,1,53,3,0.333711748,1
10,2,19,3,0.917246459,1
10,1,52,3,0.317165066,1
10,2,23,3,0.41711304,1
10,1,37,3,0.96705466,1
10,1,43,3,0.717144856,1
10,2,16,3,1.017173118,1
10,2,2,3,0.783291321,1
10,1,42,3,0.733857324,1
11,2,30,3,0.783874732,1
11,2,26,3,,1
11,2,32,3,0.9671865,1
11,1,57,3,0.600491912,1
11,1,63,3,1.00056328,1
11,1,34,3,0.666994819,1
11,1,48,3,0.500477228,1
11,1,54,3,1.004881624,1
11,2,17,3,0.417075936,1
11,2,33,3,0.45049732,1
11,2,25,3,0.534002822,1
11,2,23,3,1.233814299,1
11,2,19,3,0.633831982,1
11,2,18,3,0.533835061,1
11,1,52,3,1.467152553,1
11,1,51,3,0.650388138,1
11,1,53,3,0.433856693,1
12,1,32,3,1.033902165,1
12,1,26,3,0.933803404,1
12,2,57,3,1.283879863,1
12,2,63,3,0.550482794,1
12,2,62,3,1.950557319,1
12,1,23,3,0.383818364,1
12,2,51,3,1.06714829,1
12,1,18,3,0.383763102,1
12,2,53,3,1.00054078,1
12,1,19,3,1.133824483,1
12,2,52,3,0.434029189,1
12,2,37,3,1.483994887,1
12,1,3,3,1.73372509,1
12,2,43,3,0.433796299,1
12,2,42,3,1.384025597,1
12,1,2,3,1.317012305,1
12,2,34,3,1.81715204,1
12,2,48,3,1.167074554,1
12,1,25,3,1.317510849,1
12,1,33,3,1.017246143,1
12,1,17,3,1.367221552,1
13,1,17,3,0.850476321,1
13,2,48,3,0.683815443,1
13,2,54,3,0.900537543,1
13,1,33,3,0.533474673,1
13,2,34,3,0.850468821,1
13,1,16,3,0.683811101,1
13,2,42,3,0.367068002,1
13,1,2,3,0.3838831,1
13,2,43,3,0.650478136,1
13,1,32,3,0.767367523,1
13,1,30,3,0.450496531,1
13,2,62,3,0.617221749,1
13,1,26,3,0.517193644,1
13,2,57,3,0.450478768,1
13,1,19,3,0.617241485,1
13,1,18,3,0.683882547,1
13,2,51,3,0.933937612,1
13,1,23,3,0.667197315,1
14,1,63,3,0.433792746,1
14,1,62,3,0.500384467,1
14,2,30,3,1.13393777,1
14,2,26,3,0.9504539,1
14,1,57,3,0.683954783,1
14,2,32,3,0.583620368,1
14,1,48,3,0.717132619,1
14,1,34,3,0.484003177,1
14,2,33,3,0.617114382,1
14,1,54,3,1.017096935,1
14,2,25,3,0.533806641,1
14,2,17,3,0.500511175,1
14,1,52,3,0.466718745,1
14,1,51,3,1.033762431,1
14,2,19,3,0.55047411,1
14,2,18,3,0.466902294,1
14,1,53,3,0.533752563,1
14,2,23,3,0.650391296,1
14,1,43,3,0.500524596,1
14,2,3,3,0.65051603,1
14,1,37,3,1.100477307,1
14,2,2,3,0.750461242,1
14,1,42,3,0.533806246,1
14,2,16,3,0.633770405,1
15,1,37,3,0.750405585,1
15,1,43,3,0.850368954,1
15,1,42,3,0.600451255,1
15,2,2,3,0.800597463,1
15,2,16,3,1.133773957,1
15,2,3,3,0.750428085,1
15,1,57,3,0.883769418,1
15,1,62,3,0.533811772,1
15,2,30,3,0.633812641,1
15,2,32,3,0.66703666,1
15,2,26,3,0.650454847,1
15,1,63,3,0.983786075,1
15,1,51,3,0.800437203,1
15,1,52,3,0.883821522,1
15,1,53,3,1.067100922,1
15,2,23,3,0.767095554,1
15,2,19,3,0.983756471,1
15,2,18,3,0.416986727,1
15,2,33,3,1.300512991,1
15,1,54,3,0.516738521,1
15,1,48,3,0.63379172,1
