Sub,Type,RT1,RT2,RT3,RT4,RT5,RT6,AnsSpeed
1,1,0.391231296514,0.417104584784,0.392357500983,0.480908595833,0.38722132585,0.672791329335,2.11368420167
1,2,0.340019365176,0.3728754161,0.373822445605,0.387901240117,0.400940982668,0.558752169559,2.0457180273
1,3,0.341453532176,0.352771328726,0.360551698844,0.353358115511,0.355788326046,0.363469476852,1.04933569584
2,1,0.439719549103,0.416355819905,0.493173439585,0.649900301933,0.453795762053,0.685066131828,1.61779025314
2,2,0.442399331172,0.383209659014,0.493445276104,0.546677896818,0.498294537287,0.629937988881,1.08971276438
2,3,0.448129415606,0.424618136322,0.3647457888,0.346420870365,0.37398236961,0.39753433376,1.01017128465
3,1,0.268687060793,0.274588671157,0.297643057445,0.561215952073,0.541295107524,0.580519381084,1.98326538787
3,2,0.26460529345,0.278823611954,0.338054751502,0.536187736734,0.504164616056,0.634365682215,2.85668237753
3,3,0.274228191332,0.275392446351,0.278505956231,0.268224238801,0.284322409925,0.286702968508,1.33969697819
4,1,0.381266677253,0.32698347494,0.442370831538,0.515867833156,0.446118498418,0.839984717636,3.10551775389
4,2,0.367626270664,0.34178255103,0.358490550422,0.486453638528,0.440213113791,1.11064251186,1.6150199954
4,3,0.340443563047,0.313085926971,0.338413633494,0.37911776072,0.400403450135,0.49909497665,1.5857973773
5,1,1.08994907531,0.985373669401,0.972643906018,1.2754283888,0.985992270838,1.74320802227,1.37267034007
5,2,1.14289181582,0.962257801318,1.10417529803,1.18585978863,1.05270571353,1.31121997263,1.67737631606
5,3,0.980249901273,0.823057936351,0.762147216546,0.653956764064,0.573606701756,0.658153580217,1.36948112671
6,1,0.578973468378,0.602229950498,1.35432358814,1.83260302469,0.821287467979,1.78257860673,3.61724685951
6,2,0.523773037194,0.64879968463,1.18433697708,1.53895938021,0.933796852538,1.78730674692,2.71072863526
6,3,0.577859781657,0.504026601038,0.568887200865,0.621266594986,0.792636559634,1.09465808364,1.94033779847
7,1,0.779577789283,0.623060951615,0.782161886207,1.09070795347,0.716052685531,0.79291403109,2.10266233201
7,2,0.807396530658,0.61818063375,0.622012549777,0.888213875519,0.5139018389,1.24182782961,2.34456703296
7,3,0.646874058804,0.491243831373,0.448701739653,0.486587149646,0.465346668478,0.561359563828,1.87686073883
8,1,0.407021862589,0.395611359847,0.403389206485,0.436808478196,0.570705587177,0.592698524477,2.01115168385
8,2,0.411876815531,0.388952195791,0.394157694025,0.423338274253,0.502530699544,0.590272987997,1.04733014727
8,3,0.409604903395,0.38891891517,0.379139846789,0.382584217503,0.407879560163,0.419953587129,0.90387487758
