Type,ID,practicetrials.thisRepN,practicetrials.thisTrialN,practicetrials.thisN,practicetrials.thisIndex,key_resp_12.keys,key_resp_12.rt,Atests1.keys,Atests1.rt,Atests2.keys,Atests2.rt,Atests3.keys,Atests3.rt,Atests4.keys,Atests4.rt,Atests5.keys,Atests5.rt,Atests6.keys,Atests6.rt,key_resp_8.keys,key_resp_8.corr,key_resp_8.rt,expName,participant,version,Gender,frameRate,session
2,30,0,7,7,1,space,0.25051453,space,0.383719682,space,0.350360665,space,0.367164316,space,0.634033689,space,1.050379375,space,0.500068683,j,1,1.48380818,SPR,10,A,M,59.99071739,1
2,26,0,8,8,0,space,0.283923283,space,0.383838101,space,0.300402072,space,0.449422865,space,0.518115733,space,0.383930468,space,0.467065712,f,0,7.117430166,SPR,10,A,M,59.99071739,1
3,20,0,9,9,9,space,0.283925652,space,0.383763102,space,0.317445324,space,0.634030926,space,0.383426397,space,0.317219144,space,0.567348023,j,1,0.900494518,SPR,10,A,M,59.99071739,1
2,32,0,10,10,2,space,0.267144895,space,0.40050557,space,0.300530754,space,0.36702616,space,1.733751142,space,0.333855824,space,0.600642304,j,1,1.100463097,SPR,10,A,M,59.99071739,1
3,39,0,11,11,6,space,0.250455716,space,0.367233394,space,0.400561227,space,0.250459663,space,0.317172566,space,0.300462466,space,0.300434045,j,0,5.117076883,SPR,10,A,M,59.99071739,1
3,43,0,0,0,6,space,0.450736526,space,0.617312537,space,0.383851522,space,0.417234617,space,0.417023042,space,0.367217604,space,0.567264735,f,1,4.034300053,SPR,10,A,M,59.99071739,1
2,18,0,1,1,0,space,0.317242433,space,0.65053103,space,0.483767128,space,0.417220802,space,0.433805378,space,0.517222854,space,0.483831469,j,1,1.583713919,SPR,10,A,M,59.99071739,1
1,51,0,2,2,3,space,0.333948191,space,0.283714471,space,0.35046211,space,0.450561661,space,0.81717296,space,0.4671715,space,0.71680302,f,1,5.95068087,SPR,10,A,M,59.99071739,1
3,28,0,3,3,9,space,0.300544175,space,0.350436058,space,0.467209394,space,0.350121064,space,0.300113524,space,0.317258222,space,0.367046686,j,1,1.917341194,SPR,10,A,M,59.99071739,1
1,53,0,4,4,5,space,0.367057739,space,0.367239709,space,0.317203355,space,0.333711748,space,0.617219381,space,0.467165974,space,0.933781694,f,1,1.333954112,SPR,10,A,M,59.99071739,1
3,48,0,5,5,7,space,0.367167474,space,0.367250762,space,0.333855429,space,0.333872403,space,0.31718046,space,0.367218394,space,0.26708687,j,1,0.833770562,SPR,10,A,M,59.99071739,1
2,19,0,6,6,1,space,0.317240854,space,0.317084541,space,0.583757734,space,0.917246459,space,0.517133645,space,0.333929639,space,0.500434992,f,1,3.834683573,SPR,10,A,M,59.99071739,1
3,29,0,7,7,10,space,0.28376776,space,0.25050782,space,0.467160842,space,0.3173198,space,0.333772536,space,0.250477821,space,0.28377447,f,1,0.984232515,SPR,10,A,M,59.99071739,1
1,52,0,8,8,4,space,0.167310997,space,0.450539951,space,0.700416598,space,0.317165066,space,0.350567108,space,0.38373626,space,0.400597542,j,1,2.450693106,SPR,10,A,M,59.99071739,1
2,23,0,9,9,2,space,0.267201341,space,0.350603818,space,0.300477071,space,0.41711304,space,0.900455834,space,0.317269274,space,0.566845927,f,1,5.583854048,SPR,10,A,M,59.99071739,1
3,30,0,10,10,11,space,0.217167355,space,0.383810864,space,0.283789075,space,0.850688685,space,0.300447861,space,0.300588779,space,0.467217683,j,1,1.100707435,SPR,10,A,M,59.99071739,1
3,24,0,11,11,8,space,0.217206039,space,0.384039808,space,0.150462347,space,0.533948744,space,0.333742537,space,0.333922533,space,0.500484728,j,1,1.817344668,SPR,10,A,M,59.99071739,1
