Type,ID,practicetrials.thisRepN,practicetrials.thisTrialN,practicetrials.thisN,practicetrials.thisIndex,key_resp_12.keys,key_resp_12.rt,Atests1.keys,Atests1.rt,Atests2.keys,Atests2.rt,Atests3.keys,Atests3.rt,Atests4.keys,Atests4.rt,Atests5.keys,Atests5.rt,Atests6.keys,Atests6.rt,key_resp_8.keys,key_resp_8.corr,key_resp_8.rt,expName,participant,version,Gender,frameRate
3,33,0,0,0,8,space,0.584094438,space,0.666896136,space,0.533790062,space,0.500685251,space,0.617073331,space,0.700075946,space,0.733828509,f,1,1.417056594,SPR,13,B,M,59.98915479
1,25,0,1,1,2,space,0.434313395,space,0.533752563,space,0.533739537,space,0.800129314,space,0.633496067,space,2.733875482,space,2.617176355,j,0,5.25049282,SPR,13,B,M,59.98915479
3,65,0,2,2,11,space,0.633912902,space,0.700415808,space,0.700503044,space,0.750383875,space,0.633825667,space,0.650626949,space,0.833836088,f,1,2.501632998,SPR,13,B,M,59.98915479
3,14,0,3,3,6,space,0.600472571,space,0.73392127,space,0.767204894,space,0.750516899,space,0.700488439,space,0.683760971,space,0.95038798,j,1,1.783976177,SPR,13,B,M,59.98915479
1,17,0,4,4,0,space,0.750461637,space,0.684073597,space,0.717163803,space,0.850476321,space,1.000363941,space,1.367357733,space,2.650520372,f,1,1.300501149,SPR,13,B,M,59.98915479
2,48,0,5,5,3,space,0.467228341,space,0.683538738,space,0.63388606,space,0.683815443,space,1.117098593,space,0.833906744,space,2.58393102,j,1,1.967155711,SPR,13,B,M,59.98915479
3,63,0,6,6,10,space,0.734006137,space,0.73375351,space,0.633914481,space,0.617374509,space,0.600503754,space,0.750450979,space,0.617105698,f,1,3.283798549,SPR,13,B,M,59.98915479
2,54,0,7,7,5,space,0.400101761,space,0.633728168,space,0.517047199,space,0.900537543,space,0.78380368,space,0.633846587,space,1.800655883,j,1,3.250731237,SPR,13,B,M,59.98915479
3,15,0,8,8,7,space,0.38383889,space,0.633804351,space,0.650601292,space,0.600489939,space,0.650639581,space,0.584145753,space,1.533832693,f,1,3.017377194,SPR,13,B,M,59.98915479
1,33,0,9,9,4,space,0.383835338,space,0.567100133,space,0.5340194,space,0.533474673,space,0.800435229,space,0.533814141,space,2.183722682,f,1,2.900492149,SPR,13,B,M,59.98915479
2,34,0,10,10,1,space,0.383549948,space,0.483701998,space,0.550566082,space,0.850468821,space,0.950744026,space,1.350695396,space,0.750476636,j,1,2.317147303,SPR,13,B,M,59.98915479
3,35,0,11,11,9,space,0.367157605,space,0.500624857,space,0.617065831,space,0.667149553,space,0.767194236,space,0.533843745,space,0.483851601,f,1,1.133803562,SPR,13,B,M,59.98915479
2,37,0,0,0,3,space,0.500645778,space,0.600420072,space,0.733838377,space,0.867208526,space,0.516675759,space,2.267344234,space,0.866759323,j,0,2.633834746,SPR,13,B,M,59.98915479
1,16,0,1,1,2,space,0.650510899,space,0.700690935,space,0.71675131,space,0.683811101,space,0.967057818,None,,space,0.133878561,j,1,4.533792036,SPR,13,B,M,59.98915479
3,4,0,2,2,8,space,0.417246854,space,0.433942744,space,0.467149,space,0.350518162,space,0.650455242,space,0.367217604,space,0.567227236,j,1,1.55061345,SPR,13,B,M,59.98915479
3,3,0,3,3,7,space,0.383944678,space,0.417088172,space,0.467160842,space,0.500359204,space,0.500714461,space,0.500341441,space,0.417130803,f,1,3.883899284,SPR,13,B,M,59.98915479
3,8,0,4,4,9,space,0.350574214,space,0.383842838,space,0.333864508,space,0.400410835,space,0.417150145,space,0.650452479,space,0.46711979,j,1,1.850367375,SPR,13,B,M,59.98915479
2,42,0,5,5,4,space,0.367291814,space,0.350404874,space,0.317070331,space,0.367068002,space,0.433849587,space,0.550453189,space,0.433731958,j,1,5.250472689,SPR,13,B,M,59.98915479
1,2,0,6,6,0,space,0.333825825,space,0.350470794,space,0.383731918,space,0.3838831,space,0.417301721,space,2.383977835,space,1.350552898,j,1,3.617145961,SPR,13,B,M,59.98915479
3,9,0,7,7,10,space,0.350633028,space,0.383771391,space,0.417161592,space,0.400272679,space,0.400460571,space,0.417211328,space,0.500431835,j,0,2.533952296,SPR,13,B,M,59.98915479
3,10,0,8,8,11,space,0.417164355,space,1.033827956,space,0.633919218,space,0.867351418,space,2.200426861,space,0.533765589,space,3.250525978,j,1,5.717376562,SPR,13,B,M,59.98915479
3,1,0,9,9,6,space,0.983865021,space,0.983827522,space,0.717198539,space,0.883734287,space,0.517084699,space,1.167174816,space,0.967153737,f,1,2.033782562,SPR,13,B,M,59.98915479
1,3,0,10,10,1,space,0.383635604,space,0.550403059,space,0.500500517,space,0.567226052,space,0.917485271,space,2.934084057,space,1.116692416,j,0,5.117174381,SPR,13,B,M,59.98915479
2,43,0,11,11,5,space,0.483748576,space,0.617383588,space,0.583846548,space,0.650478136,space,0.833882271,space,1.717143277,space,1.717128277,f,1,1.100397177,SPR,13,B,M,59.98915479
1,32,0,0,0,2,space,0.834299501,space,0.567105659,space,0.550425164,space,0.767367523,space,0.66708758,space,3.717261301,space,1.500655252,j,1,2.483795154,SPR,13,B,M,59.98915479
1,30,0,1,1,1,space,0.333808062,space,0.41707712,space,0.450532451,space,0.450496531,space,1.533862298,space,0.60059099,space,3.267346997,j,1,4.217346563,SPR,13,B,M,59.98915479
3,39,0,2,2,6,space,0.333595302,space,0.35059474,space,0.817145724,space,0.650439058,space,0.450390348,space,0.484007519,space,0.633814614,f,1,1.300498386,SPR,13,B,M,59.98915479
3,55,0,3,3,10,space,0.550617002,space,0.667166921,space,0.533754142,space,0.483780944,space,0.50045986,space,0.417231065,space,0.383860995,f,1,1.517193249,SPR,13,B,M,59.98915479
3,60,0,4,4,11,space,0.43378722,space,0.500481176,space,0.450492583,space,0.517171934,space,0.550602397,space,0.583585237,space,0.700390546,j,1,2.000541569,SPR,13,B,M,59.98915479
2,63,0,5,5,5,space,0.517224828,space,0.534080583,space,0.450190615,space,0.650474978,space,1.467071633,space,0.933803404,space,3.883810075,j,0,6.250520846,SPR,13,B,M,59.98915479
2,62,0,6,6,4,space,1.533754931,space,0.667100606,space,0.600778881,space,0.617221749,space,0.600368362,space,0.583884442,space,0.700445413,j,1,4.833579118,SPR,13,B,M,59.98915479
3,20,0,7,7,9,space,0.750542556,space,0.550514767,space,0.567167237,space,0.583777076,space,0.550432663,space,0.567363812,space,0.567092633,j,1,1.517073252,SPR,13,B,M,59.98915479
3,16,0,8,8,8,space,0.450618502,space,0.517191276,space,0.450610608,space,0.48372134,space,0.467196368,space,0.500413282,space,0.717089988,j,1,2.017078383,SPR,13,B,M,59.98915479
3,40,0,9,9,7,space,0.483994493,space,0.467122159,space,0.483850416,space,0.534493076,space,0.517154566,space,0.517422982,space,0.767223841,j,1,3.200463571,SPR,13,B,M,59.98915479
1,26,0,10,10,0,space,0.383885468,space,0.500512359,space,0.383801786,space,0.517193644,space,0.533839798,space,0.767234894,space,0.850477505,j,1,2.267103448,SPR,13,B,M,59.98915479
2,57,0,11,11,3,space,0.400556885,space,0.467066107,space,0.483816864,space,0.450478768,space,0.533557171,space,1.050442532,space,0.700381467,f,1,1.33391227,SPR,13,B,M,59.98915479
1,19,0,0,0,1,space,0.417299353,space,0.567043292,space,0.583829969,space,0.617241485,space,0.617342142,space,0.783950125,space,0.917103172,f,1,3.067177105,SPR,13,B,M,59.98915479
3,48,0,1,1,7,space,0.383366004,space,0.533869798,space,0.450678896,space,0.500535254,space,0.417188828,space,0.533792825,space,0.483715024,j,1,1.350663028,SPR,13,B,M,59.98915479
1,18,0,2,2,0,space,0.517171539,space,0.483762392,space,0.500368678,space,0.683882547,space,0.617045305,space,0.750506241,space,0.733562856,j,1,1.900033473,SPR,13,B,M,59.98915479
2,53,0,3,3,5,space,0.483550422,space,0.533305334,space,0.450615344,space,0.517156145,space,0.466898742,space,0.550862524,space,0.700533438,j,0,3.35047711,SPR,13,B,M,59.98915479
3,29,0,4,4,10,space,0.983868969,space,0.917068041,space,0.700582779,space,0.633764878,space,0.633710011,space,0.633796457,space,0.733823377,f,1,2.150613134,SPR,13,B,M,59.98915479
2,51,0,5,5,3,space,0.517262327,space,0.683850179,space,0.633947638,space,0.933937612,space,0.683474002,space,0.683802812,space,0.733334307,f,1,3.15009959,SPR,13,B,M,59.98915479
1,23,0,6,6,2,space,0.550440163,space,0.533796378,space,0.733520225,space,0.667197315,space,0.733792194,space,0.733584566,space,1.033827167,f,1,3.817117303,SPR,13,B,M,59.98915479
3,43,0,7,7,6,space,0.516876676,space,0.58371234,space,0.53393927,space,0.56714829,space,0.600616252,space,0.550532925,space,0.633738037,f,1,0.950788631,SPR,13,B,M,59.98915479
3,24,0,8,8,8,space,0.867180894,space,0.467074002,space,0.533651117,space,0.600579148,space,0.533878087,space,0.51706812,space,0.500541569,j,1,2.083853653,SPR,13,B,M,59.98915479
3,28,0,9,9,9,space,0.467028608,space,0.533811378,space,0.483879232,space,0.450546661,space,0.5337573,space,0.467202289,space,0.53383743,j,1,1.417623031,SPR,13,B,M,59.98915479
2,52,0,10,10,4,space,0.417114619,space,0.500501702,space,0.500705777,space,0.617242275,space,0.633814614,space,0.600555069,space,0.733452726,f,0,2.950955602,SPR,13,B,M,59.98915479
3,30,0,11,11,11,space,0.800590358,space,0.800498781,space,0.633898297,space,0.700467913,space,0.56699395,space,0.617231222,space,2.217247485,j,1,4.283823812,SPR,13,B,M,59.98915479
