Type,ID,practicetrials.thisRepN,practicetrials.thisTrialN,practicetrials.thisN,practicetrials.thisIndex,key_resp_12.keys,key_resp_12.rt,Atests1.keys,Atests1.rt,Atests2.keys,Atests2.rt,Atests3.keys,Atests3.rt,Atests4.keys,Atests4.rt,Atests5.keys,Atests5.rt,Atests6.keys,Atests6.rt,key_resp_8.keys,key_resp_8.corr,key_resp_8.rt,expName,participant,version,Gender,frameRate
2,16,0,7,7,2,space,0.517186539,space,0.584002466,space,0.517172724,space,0.517159303,space,0.516794178,space,0.383883889,space,0.566796191,j,1,2.700523175,SPR,7,A,M,59.96998397
3,4,0,8,8,8,space,0.450485084,space,0.433840903,space,0.450507978,space,0.400370967,space,0.550527793,space,0.450545083,space,0.383744944,j,1,1.283699472,SPR,7,A,M,59.96998397
2,3,0,9,9,1,space,0.350553688,space,0.517179434,space,0.500566437,space,0.516998648,space,0.483809364,space,0.433898534,space,0.600624936,f,1,2.967368075,SPR,7,A,M,59.96998397
3,9,0,10,10,10,space,0.433812878,space,0.467165184,space,0.450389559,space,0.383916257,space,0.450254956,space,0.33384043,space,0.700553174,f,1,1.233707721,SPR,7,A,M,59.96998397
2,2,0,11,11,0,space,0.467085054,space,0.600487176,space,0.533813351,space,0.500585384,space,0.517194434,space,0.500428282,space,0.517073252,j,1,4.917125277,SPR,7,A,M,59.96998397
2,25,0,0,0,2,space,0.584365223,space,0.583831943,space,0.533777036,space,0.483972783,space,0.467180184,space,0.383884679,space,0.601419133,f,1,2.567099343,SPR,7,A,M,59.96998397
3,33,0,1,1,8,space,0.467183737,space,0.46715729,space,0.500425124,space,0.433741037,space,0.500351704,space,0.500488676,space,0.483596605,f,1,1.017239828,SPR,7,A,M,59.96998397
1,54,0,2,2,5,space,0.53379322,space,0.516796941,space,0.366993792,space,0.51714825,space,0.467153342,space,0.417211723,space,0.517118646,j,1,3.517235091,SPR,7,A,M,59.96998397
3,65,0,3,3,11,space,0.433885508,space,0.383759944,space,0.417142645,space,0.383770602,space,0.367289445,space,0.350344481,space,0.400502017,f,1,0.933778141,SPR,7,A,M,59.96998397
1,48,0,4,4,3,space,0.383924941,space,0.450368244,space,0.450437716,space,0.450437321,space,0.550488715,space,0.400480702,space,1.167172447,j,1,1.267115685,SPR,7,A,M,59.96998397
3,35,0,5,5,9,space,0.483849232,space,0.450480742,space,0.417142645,space,0.466930715,space,0.467070844,space,0.417184092,space,0.433803799,f,1,0.883792312,SPR,7,A,M,59.96998397
1,34,0,6,6,1,space,0.467281235,space,0.467371233,space,0.48382239,space,0.467257946,space,0.450222983,space,0.48380818,space,0.550426742,j,1,1.484097123,SPR,7,A,M,59.96998397
2,17,0,7,7,0,space,0.467214131,space,0.46710558,space,0.417278432,space,0.400545832,space,0.483745023,space,0.433819193,space,0.517065752,j,0,1.850575003,SPR,7,A,M,59.96998397
3,14,0,8,8,6,space,0.567034608,space,0.56703895,space,0.767075423,space,0.500571174,space,0.617119514,space,0.51709812,space,0.483987782,j,1,1.283768944,SPR,7,A,M,59.96998397
3,15,0,9,9,7,space,0.500552227,space,0.483768707,space,0.533342044,space,0.517222459,space,0.517175487,space,0.53407782,space,0.617459771,f,1,1.050814762,SPR,7,A,M,59.96998397
3,63,0,10,10,10,space,0.517220091,space,0.467090185,space,0.48381568,space,0.450536398,space,0.450473636,space,0.466860847,space,0.433827483,j,0,3.633751852,SPR,7,A,M,59.96998397
2,33,0,11,11,4,space,0.63381343,space,0.917144619,space,0.633794878,space,0.717348536,space,0.567119869,space,1.050515557,space,0.483805417,f,1,1.433730774,SPR,7,A,M,59.96998397
