Type,ID,practicetrials.thisRepN,practicetrials.thisTrialN,practicetrials.thisN,practicetrials.thisIndex,key_resp_12.keys,key_resp_12.rt,Atests1.keys,Atests1.rt,Atests2.keys,Atests2.rt,Atests3.keys,Atests3.rt,Atests4.keys,Atests4.rt,Atests5.keys,Atests5.rt,Atests6.keys,Atests6.rt,key_resp_8.keys,key_resp_8.corr,key_resp_8.rt,expName,participant,version,Gender,frameRate
3,1,0,0,0,6,space,1.032807974,space,0.80160284,space,1.399641112,space,0.968431083,space,0.800377599,space,0.850528425,space,1.017824028,f,1,2.000249469,SPR,9,A,M,60.08448045
1,37,0,1,1,3,space,0.684941213,space,0.916808704,space,1.166799033,space,1.017247722,space,1.500097104,space,1.083713129,space,2.58505679,f,1,2.14923829,SPR,9,A,M,60.08448045
3,9,0,2,2,10,space,0.86726813,space,0.733905876,space,0.966972951,space,1.484671849,space,0.749978487,space,0.635132223,space,0.801298503,f,1,2.017015226,SPR,9,A,M,60.08448045
2,16,0,3,3,2,space,1.115850063,space,1.099530745,space,0.951575327,space,0.933981822,space,0.835005278,space,0.833851087,space,1.049090977,j,1,4.301053771,SPR,9,A,M,60.08448045
3,10,0,4,4,11,space,0.884491773,space,0.834875806,space,0.750928602,space,0.918454333,space,1.649394603,space,0.517558375,space,1.134262633,j,1,2.31584351,SPR,9,A,M,60.08448045
1,43,0,5,5,5,space,0.600095604,space,0.950274693,space,1.617341352,space,2.143357209,space,1.53413703,space,1.13370409,space,1.583720234,f,1,1.749321657,SPR,9,A,M,60.08448045
2,2,0,6,6,0,space,0.500326442,space,1.067245788,space,1.433281571,space,1.217156698,space,0.818286888,space,0.667163763,space,1.3343445,j,1,1.868152325,SPR,9,A,M,60.08448045
3,4,0,7,7,8,space,0.784829978,space,0.900558859,space,0.867293787,space,0.883848758,space,1.183838732,space,0.950648896,space,1.050886998,j,1,1.133736853,SPR,9,A,M,60.08448045
1,42,0,8,8,4,space,0.867275235,space,1.183508343,space,1.03328836,space,1.283832496,space,1.317139803,space,1.200471465,space,1.13371159,j,1,1.383937178,SPR,9,A,M,60.08448045
3,8,0,9,9,9,space,1.016804835,space,1.450519425,space,1.083494054,space,0.983737918,space,0.983758444,space,1.116985701,space,0.833856219,j,1,2.017176276,SPR,9,A,M,60.08448045
3,3,0,10,10,7,space,0.699040175,space,0.833601618,space,1.116982148,space,0.951242965,space,1.699721084,space,0.865892496,space,1.03366217,f,1,1.801696391,SPR,9,A,M,60.08448045
2,3,0,11,11,1,space,0.55023372,space,1.250398875,space,1.166867716,space,1.200986193,space,1.08339853,space,0.950861656,space,1.615874141,f,1,2.217477613,SPR,9,A,M,60.08448045
1,52,0,0,0,4,space,0.967428469,space,0.850598687,space,0.784382749,space,1.01595064,space,1.151085626,space,1.100135077,space,1.417285143,j,1,1.683418345,SPR,9,A,M,60.08448045
1,51,0,1,1,3,space,0.565991731,space,1.349286605,space,1.649440391,space,1.134975515,space,1.432404481,space,0.434368262,space,1.417163566,f,1,3.01758048,SPR,9,A,M,60.08448045
3,28,0,2,2,9,space,0.933732353,space,0.8017781,space,1.083332215,space,0.749738097,space,0.716515656,space,0.650234983,space,0.667472837,j,1,1.415929245,SPR,9,A,M,60.08448045
3,30,0,3,3,11,space,0.950543504,space,0.717060778,space,0.699914107,space,1.183728603,space,0.832462033,space,0.967404785,space,0.950751131,j,1,2.434567601,SPR,9,A,M,60.08448045
3,24,0,4,4,8,space,0.867079449,space,0.801223899,space,0.934092741,space,1.015587094,space,0.716827098,space,0.916803967,space,1.118368834,j,1,1.13387935,SPR,9,A,M,60.08448045
3,43,0,5,5,6,space,0.633858824,space,1.066863295,space,0.800493649,space,0.883833759,space,0.683805575,space,0.700486465,space,0.700459623,f,1,1.617049252,SPR,9,A,M,60.08448045
