Type,ID,practicetrials.thisRepN,practicetrials.thisTrialN,practicetrials.thisN,practicetrials.thisIndex,key_resp_12.keys,key_resp_12.rt,Atests1.keys,Atests1.rt,Atests2.keys,Atests2.rt,Atests3.keys,Atests3.rt,Atests4.keys,Atests4.rt,Atests5.keys,Atests5.rt,Atests6.keys,Atests6.rt,key_resp_8.keys,key_resp_8.corr,key_resp_8.rt,expName,participant,version,Gender,frameRate
1,37,0,0,0,3,space,0.917242512,space,0.650437874,space,0.667042976,space,0.750405585,space,0.633774352,space,0.717170118,space,1.250435979,f,1,6.416795678,SPR,15,A,M,59.99696863
1,43,0,1,1,5,space,0.667166921,space,0.033884008,space,1.383966388,space,0.850368954,space,0.833903981,space,0.667257709,space,2.683826496,f,1,1.967257551,SPR,15,A,M,59.99696863
1,42,0,2,2,4,space,1.184006887,space,0.734129688,space,0.717217881,space,0.600451255,space,0.833725169,space,0.633859614,space,0.750484136,j,1,0.900450703,SPR,15,A,M,59.99696863
3,1,0,3,3,6,space,0.533832693,space,0.633951586,space,0.650593792,space,0.683748734,space,0.717134198,space,0.733736537,space,0.65045011,f,1,2.150076301,SPR,15,A,M,59.99696863
2,2,0,4,4,0,space,0.517238249,space,0.683784654,space,0.867161947,space,0.800597463,space,0.683781496,space,0.750501899,space,1.783782365,j,1,3.01713404,SPR,15,A,M,59.99696863
2,16,0,5,5,2,space,0.550517136,space,0.417409877,space,0.717153934,space,1.133773957,space,1.017158908,space,0.500455518,space,0.666782849,j,1,5.600431519,SPR,15,A,M,59.99696863
3,10,0,6,6,11,space,0.467184921,space,0.683896758,space,0.650554714,space,0.683796891,space,1.083785365,space,0.533767168,space,0.750529135,j,1,2.05051753,SPR,15,A,M,59.99696863
3,3,0,7,7,7,space,0.467202289,space,0.617092278,space,1.000565253,space,0.700412651,space,0.650446558,space,0.683761365,space,0.417066857,f,1,1.450727842,SPR,15,A,M,59.99696863
3,8,0,8,8,9,space,0.550785157,space,0.500461045,space,0.600407835,space,0.583874969,space,1.117150303,space,0.583869442,space,0.567203552,j,1,3.267088054,SPR,15,A,M,59.99696863
2,3,0,9,9,1,space,0.43376472,space,0.650534977,space,0.750460847,space,0.750428085,space,0.667206789,space,0.533809799,space,1.683812285,f,1,2.017332194,SPR,15,A,M,59.99696863
3,4,0,10,10,8,space,0.517136803,space,0.667227315,space,0.517137198,space,0.483476212,space,0.867129974,space,0.617137277,space,0.583749839,j,1,1.233753115,SPR,15,A,M,59.99696863
3,9,0,11,11,10,space,0.383866916,space,0.833435437,space,0.983700024,space,1.083867863,space,0.900530438,space,0.650916681,space,0.666834164,f,1,1.317124409,SPR,15,A,M,59.99696863
3,39,0,0,0,6,space,0.667564414,space,0.833899639,space,1.017129698,space,0.700466334,space,0.66692061,space,0.633555672,space,0.983824364,f,1,1.500451571,SPR,15,A,M,59.99696863
3,16,0,1,1,8,space,0.583850101,space,0.733811141,space,0.500657225,space,0.78376776,space,0.567160921,space,0.467132816,space,0.58385089,j,1,1.300430492,SPR,15,A,M,59.99696863
1,57,0,2,2,3,space,0.433913139,space,0.683829259,space,0.667149553,space,0.883769418,space,2.033638091,space,2.250512162,space,2.700496728,f,1,1.550448847,SPR,15,A,M,59.99696863
1,62,0,3,3,4,space,0.416784625,space,0.617035042,space,0.617133724,space,0.533811772,space,0.567191315,space,0.533959796,space,3.00058499,j,1,4.600530991,SPR,15,A,M,59.99696863
2,30,0,4,4,1,space,1.650682606,space,0.533863482,space,0.317558611,space,0.633812641,space,1.183775181,space,0.467191236,space,1.700418572,j,1,3.850502373,SPR,15,A,M,59.99696863
3,55,0,5,5,10,space,0.383799417,space,0.367070765,space,0.633861587,space,0.617233986,space,0.683851758,space,0.867264182,space,0.450347718,f,1,1.900412809,SPR,15,A,M,59.99696863
2,32,0,6,6,2,space,0.417238564,space,0.467245709,space,0.433675512,space,0.66703666,space,0.883443371,space,0.950516662,space,1.600567306,j,1,1.867359707,SPR,15,A,M,59.99696863
