Type,ID,practicetrials.thisRepN,practicetrials.thisTrialN,practicetrials.thisN,practicetrials.thisIndex,key_resp_12.keys,key_resp_12.rt,Atests1.keys,Atests1.rt,Atests2.keys,Atests2.rt,Atests3.keys,Atests3.rt,Atests4.keys,Atests4.rt,Atests5.keys,Atests5.rt,Atests6.keys,Atests6.rt,key_resp_8.keys,key_resp_8.corr,key_resp_8.rt,expName,participant,version,Gender,frameRate
3,65,0,0,0,11,space,0.784012098,space,0.63374001,space,0.750520846,space,0.717395114,space,0.66733626,space,0.667185473,space,0.600424414,f,1,0.733769694,SPR,23,B,F,59.98077492
3,15,0,1,1,7,space,0.950470479,space,0.76694082,space,0.600200207,space,0.633809878,space,0.600460729,space,0.700679883,space,0.667119948,f,1,0.817141777,SPR,23,B,F,59.98077492
3,35,0,2,2,9,space,0.500469334,space,0.633760931,space,0.619699074,space,0.567175131,space,0.533728484,space,0.533865456,space,0.567025529,f,1,0.767125159,SPR,23,B,F,59.98077492
2,54,0,3,3,5,space,0.583839048,space,0.583752208,space,0.583745497,space,0.583461686,space,0.733770484,space,0.617399377,space,0.567106843,j,1,2.067151448,SPR,23,B,F,59.98077492
3,33,0,4,4,8,space,1.800572595,space,0.533760852,space,0.567106843,space,0.50046736,space,0.533798746,space,0.45046811,space,0.483741866,f,1,0.617136882,SPR,23,B,F,59.98077492
3,63,0,5,5,10,space,0.633774747,space,0.433878403,space,0.533857956,space,0.483865416,space,0.417182118,space,0.433773799,space,0.483838969,f,1,0.833825035,SPR,23,B,F,59.98077492
2,48,0,6,6,3,space,0.550609108,space,0.550470163,space,0.46696624,space,0.450502846,space,0.500442887,space,0.433786825,space,0.500454334,j,1,1.233726669,SPR,23,B,F,59.98077492
2,34,0,7,7,1,space,0.517295879,space,0.533372043,space,0.500105788,space,0.450476005,space,0.517100488,space,0.483766339,space,0.517173908,j,1,1.067093422,SPR,23,B,F,59.98077492
1,33,0,8,8,4,space,0.550575556,space,0.483827127,space,0.433811693,space,0.467235051,space,0.500509991,space,0.467177816,space,0.467179,f,1,0.783824206,SPR,23,B,F,59.98077492
3,14,0,9,9,6,space,0.467135974,space,0.450440084,space,0.417068041,space,0.417073567,space,0.417071988,space,0.417101198,space,0.417055015,j,1,0.683399398,SPR,23,B,F,59.98077492
1,17,0,10,10,0,space,0.617155434,space,0.417190802,space,0.417120935,space,0.433741037,space,0.434139319,space,0.450471268,space,0.450510346,f,1,0.950347323,SPR,23,B,F,59.98077492
1,25,0,11,11,2,space,0.400603068,space,0.433414595,space,0.400047289,space,0.383761128,space,0.434077741,space,0.4337138,space,0.400484649,f,1,0.617317274,SPR,23,B,F,59.98077492
3,16,0,0,0,8,space,1.367281945,space,0.40005992,space,0.483685814,space,0.450484294,space,0.467145448,space,0.40049886,space,0.450801657,j,1,0.600438229,SPR,23,B,F,59.98077492
1,26,0,1,1,0,space,0.85048382,space,0.467275314,space,0.483827917,space,0.433789983,space,0.500468544,space,0.51719996,space,0.483840153,j,1,1.08386589,SPR,23,B,F,59.98077492
2,57,0,2,2,3,space,0.532567189,space,0.484678165,space,0.400452281,space,0.45058495,space,0.467261893,space,0.383895731,space,0.450261666,f,1,1.217276301,SPR,23,B,F,59.98077492
2,62,0,3,3,4,space,0.533885587,space,0.450401796,space,0.399893344,space,0.467384654,space,0.383763497,space,0.450576661,space,0.450359954,f,0,0.9504314,SPR,23,B,F,59.98077492
1,30,0,4,4,1,space,0.63389435,space,0.500629594,space,0.483817259,space,0.483673577,space,0.48393252,space,0.467206236,space,0.533902955,j,1,0.900633068,SPR,23,B,F,59.98077492
3,39,0,5,5,6,space,0.500437361,space,0.46717821,space,0.433835772,space,0.467276103,space,0.550405822,space,0.450395875,space,0.433541303,f,1,0.917097646,SPR,23,B,F,59.98077492
3,20,0,6,6,9,space,0.550499768,space,0.500506044,space,0.500485518,space,0.383853495,space,0.417227512,space,0.46708308,space,0.450441269,j,1,0.733740484,SPR,23,B,F,59.98077492
2,63,0,7,7,5,space,0.50048907,space,0.450343376,space,0.433922612,space,0.467041634,space,0.433758405,space,0.433878008,space,0.467337286,f,1,1.567262761,SPR,23,B,F,59.98077492
3,40,0,8,8,7,space,0.617134119,space,0.483780944,space,0.433788404,space,0.434031953,space,0.450324429,space,0.533833482,space,0.417158434,j,1,0.733800088,SPR,23,B,F,59.98077492
3,60,0,9,9,11,space,0.567269867,space,0.467106369,space,0.450505215,space,0.433830246,space,0.517025884,space,0.617111619,space,0.583766813,j,1,0.717434587,SPR,23,B,F,59.98077492
1,32,0,10,10,2,space,0.467174658,space,0.517114304,space,0.533408753,space,0.500479597,space,0.65050182,space,0.717314195,space,0.650628134,j,1,1.033798746,SPR,23,B,F,59.98077492
3,55,0,11,11,10,space,0.700524754,space,0.483727261,space,0.467018739,space,0.467254788,space,0.467164395,space,0.46725242,space,0.467086633,f,1,1.383781654,SPR,23,B,F,59.98077492
