Sub,Type,RT1,RT2,RT3,RT4,RT5,RT6,AnsSpeed
26,3,0.871707175,0.751739039375,0.687309577656,0.688001152344,0.679310827844,0.805485051625,1.02352712022
27,1,0.324563161871,0.307917060903,0.312252362,0.292873467774,0.356872388194,0.362212171065,1.11164660181
27,2,0.291124741222,0.297938585556,0.30906461737,0.312123644815,0.309017527519,0.353462153296,1.18125388111
27,3,0.3309252667,0.328131327067,0.320887693933,0.298270761,0.3170736053,0.364843995533,1.038142269
28,1,0.43616937463,0.493582463,0.448548054741,0.462709620519,0.510880481444,0.555328879111,1.23553773904
28,2,0.431319710357,0.426068850964,0.44918799025,0.482639101143,0.492688418929,0.549761412071,1.22597980879
28,3,0.434741268531,0.452482777031,0.458149422813,0.400858923969,0.386309102188,0.412385435063,1.00090321244
29,1,0.5904571288,0.5026185591,0.4148661984,0.490952672733,0.534844017233,0.537643033733,1.53880328963
29,2,0.614999937812,0.5280913715,0.462403335594,0.509298923219,0.596767993625,0.537377873031,1.62543058853
29,3,0.595779812031,0.508719755781,0.491585210031,0.446838174125,0.445744538062,0.473843212062,1.44681693284
30,1,0.524244430097,0.534416133387,0.529870849452,0.583442893742,0.846260053581,0.622202006419,1.85503990648
30,2,0.501688389103,0.496599483552,0.544431164621,0.560192203862,0.802975113621,0.741718599724,1.66033427603
30,3,0.461004714875,0.484112530344,0.487533702406,0.494797567094,0.506975589625,0.528866840062,1.31084766728
31,1,0.236572908167,0.237242196333,0.322750693267,0.333889689667,0.5199918318,0.574980566233,1.18550516807
31,2,0.299392763517,0.30971809431,0.344766634759,0.380427494034,0.571240663172,0.561435489103,1.14821614376
31,3,0.235470967194,0.23978239371,0.273589614097,0.303214535097,0.329607076742,0.330656341129,1.05644304348
32,1,0.255018970655,0.259050507966,0.271178944034,0.253766443276,0.259698148276,0.268812044103,1.23726319231
32,2,0.259790088906,0.253514883,0.268159883656,0.258233527094,0.263454796,0.300919287781,0.995234851969
32,3,0.257704714438,0.258779016937,0.247812107313,0.248860838781,0.255118540844,0.263395636156,0.817163369781
33,1,0.35787625669,0.330845043103,0.341210064414,0.337759662552,0.407320470897,0.425808551966,1.70396323028
33,2,0.320690415393,0.30750756075,0.327835265893,0.312939233964,0.41053199175,0.403966757429,1.65823250193
33,3,0.403033025875,0.321221707344,0.316608209062,0.340998126875,0.363477978938,0.349391777937,1.21558707894
34,1,0.262953371792,0.296317010375,0.300465243292,0.299650392375,0.333732370625,0.405969364583,1.02136414421
34,2,0.2648444166,0.292628580033,0.315948761167,0.3293311302,0.3621175544,0.3965447193,0.942061487133
34,3,0.268122741323,0.283736347581,0.299335578032,0.300914529484,0.317104044419,0.373485522935,0.756387366452
35,1,0.476949934862,0.482058141241,0.450461990069,0.515335494793,0.49354593331,0.549852445103,1.65447339069
35,2,0.51384592371,0.525735115226,0.519803418161,0.584824926806,0.521963155129,0.576775817774,1.69192218287
35,3,0.490416614633,0.466530406533,0.4720725369,0.453657381667,0.494877202633,0.5265276644,1.83494378543
36,1,0.329575737625,0.320696928281,0.332159493531,0.338950041813,0.337391987469,0.373810338188,1.01450814091
36,2,0.321878690806,0.304680314032,0.320856637484,0.313825061613,0.344515736258,0.335389528419,0.878376194161
36,3,0.312876361125,0.323881238688,0.313432360625,0.330591472312,0.326446109281,0.333739171437,0.847294574
37,1,0.443976183484,0.434813749613,0.429457999258,0.438584258161,0.462236303,0.49287992871,1.15745282477
37,2,0.437254598069,0.44003515969,0.434896368483,0.435481859655,0.451023579552,0.496382138,1.03723872462
37,3,0.453035248719,0.450388952937,0.438936589062,0.432666268,0.423871535875,0.444158635062,0.903588396219
38,1,0.341781617517,0.439487494552,0.462519511172,0.74237182069,0.633764949172,0.676288337517,1.34068911841
38,2,0.384340443167,0.433746442833,0.449873029033,0.5537759185,0.537682449933,0.486570671433,1.17326320857
38,3,0.356178378937,0.434799799187,0.418648219375,0.390000256,0.390024309875,0.433744197063,0.976484380719
39,1,0.540000312781,0.549406331094,0.524427935031,0.840536652438,0.645055808742,0.914954771,2.90940500178
39,2,0.631590301355,0.602557396323,0.558505320774,0.735363702903,0.613860569226,0.7576409272,2.19247648316
39,3,0.587923563219,0.551976444281,0.568633868375,0.553510679188,0.516080972938,0.710328471219,1.97760183203
40,1,0.483233347031,0.508727221188,0.480122591781,0.727024529469,0.658299824281,0.868140991031,2.05728256738
40,2,0.523763395033,0.5176177646,0.484279707667,0.786535001033,0.659894181233,0.896024388467,1.7026521928
40,3,0.533770809094,0.512919532031,0.544680618875,0.578570882625,0.6316639515,0.631164015813,1.39892305284
41,1,0.706338247032,0.642869395903,0.592920817419,0.604146725387,0.65793370571,0.613293459323,1.87842649013
41,2,0.612899627813,0.717560510844,0.635388003656,0.663408447469,0.689496474188,0.662921106062,1.79108823338
41,3,0.618778147433,0.635415262033,0.608673418067,0.6143058492,0.572181745,0.572044748033,1.61885051427
42,1,0.292367565828,0.251565832759,0.265969768759,0.310179831103,0.360129910172,0.295805499793,1.67689827452
42,2,0.247174012581,0.24017997429,0.285911950032,0.242862280516,0.313856537968,0.296096526452,1.58106242732
42,3,0.239479791846,0.217735589923,0.257453305731,0.237462608654,0.25876057,0.273496704577,1.05808752188
43,1,0.3570810577,0.366489867867,0.3743337643,0.381545424633,0.520416519967,0.409826972167,1.92940183917
43,2,0.407863344966,0.340080964552,0.355012312,0.351518721276,0.517665807517,0.468296931897,2.33670289314
43,3,0.398784460467,0.360416196333,0.354856382067,0.3615406194,0.340970589533,0.338709362033,1.14540288873
44,1,0.720763583156,0.819235360437,0.623867943812,1.47358322713,0.805659974844,0.835849709969,1.73227428053
44,2,0.741542328812,0.849880698281,0.649851762281,1.25827076725,0.77645376725,0.877029261281,1.67238348409
44,3,0.771373626031,0.787407441156,0.872323618562,0.659822266656,0.629607787062,0.626463652625,1.48382298469
45,1,0.357738138733,0.378801648967,0.3965599821,0.3562252199,0.419108385367,0.479069225233,1.04084382293
45,2,0.379247139346,0.405557373923,0.413463644885,0.349937952538,0.428209300231,0.457117180423,1.02816244242
45,3,0.407588260194,0.393455640129,0.401340619645,0.395738685839,0.417745767548,0.401236575774,1.04073004997
46,1,0.301688748469,0.268413547031,0.292610842938,0.258497228844,0.269179834375,0.326490096813,1.36252343231
