Sentences,Question,word5,word4,word6,word1,word3,Ans,word2,lenth,Type,ID,practicetrials.thisRepN,practicetrials.thisTrialN,practicetrials.thisN,practicetrials.thisIndex,key_resp_12.keys,key_resp_12.rt,Atests1.keys,Atests1.rt,Atests2.keys,Atests2.rt,Atests3.keys,Atests3.rt,Atests4.keys,Atests4.rt,Atests5.keys,Atests5.rt,Atests6.keys,Atests6.rt,key_resp_8.keys,key_resp_8.corr,key_resp_8.rt,expName,participant,version,Grade,Gender,frameRate,session,date,
表弟砍傷的疑犯發現了秘密,疑犯發現了秘密？,發現了,疑犯,秘密,表弟,的,f,砍傷,12,2,21,0,0,0,4,space,0.737489332507,space,0.465371804981,space,0.3631000735,space,0.393648372661,space,0.343662148625,space,0.359707396943,space,0.325804314998,f,1,2.03148735414,SPR,li,B,,male,59.1344800456,001,2016_04_28_1608,
袒護隊長的消防員聲援了遊行,隊長聲援了遊行？,聲援了,消防員,遊行,袒護,的,j,隊長,13,1,52,0,1,1,11,space,0.426863051125,space,0.360113176059,space,0.321898888371,space,0.321692446272,space,0.306983742783,space,0.322270720982,space,0.36083434186,f,0,1.56369784771,SPR,li,B,,male,59.1344800456,001,2016_04_28_1608,
農夫辱罵的木匠造出了新房,木匠造出了新房？,造出了,木匠,新房,農夫,的,f,辱罵,12,2,19,0,2,2,2,space,0.742685910387,space,0.371349468183,space,0.396396855132,space,0.328001364174,space,0.327085203353,space,0.377901143049,space,0.448890778312,f,1,1.35809651701,SPR,li,B,,male,59.1344800456,001,2016_04_28_1608,
雇主同情的技工拿到了專利,雇主毆打了技工？,拿到了,技工,專利,雇主,的,j,同情,12,2,18,0,3,3,1,space,0.498660297355,space,0.343655832996,space,0.343409523495,space,0.355987886622,space,0.365299885765,space,0.443434864952,space,0.397598798139,j,1,1.65126758606,SPR,li,B,,male,59.1344800456,001,2016_04_28_1608,
輕視政府的逃亡者認清了事實,政府認清了事實？,認清了,逃亡者,事實,輕視,的,j,政府,13,1,56,0,4,4,15,space,0.517626523742,space,0.067202231945,space,0.41490677738,space,0.461029021099,space,0.360100544804,space,0.427098308279,space,0.60252830388,j,1,2.65492946627,SPR,li,B,,male,59.1344800456,001,2016_04_28_1608,
忽視小白的企業家投資了廣告,企業家投資了廣告？,投資了,企業家,廣告,忽視,的,f,小白,13,1,55,0,5,5,14,space,0.444504574491,space,0.365506327864,space,0.376734330726,space,0.337296784794,space,0.305216156325,space,0.36046093034,space,0.426630162336,f,1,3.32939632857,SPR,li,B,,male,59.1344800456,001,2016_04_28_1608,
親近大自然的最好方式是旅遊,旅遊能夠親近大自然?,是,最好方式,旅遊,親近,的,f,大自然,13,3,55,0,6,6,22,space,0.393314433819,space,0.360506323919,space,0.360203173761,space,0.360418299846,space,0.359819499346,space,0.342894010337,space,0.347598758661,f,1,1.94410195319,SPR,li,B,,male,59.1344800456,001,2016_04_28_1608,
每個人的相處方式都不一樣,相處方式都一樣的?,都,方式,不一樣,每個人,相處,j,的,12,3,50,0,7,7,17,space,0.443916036878,space,0.376953009356,space,0.377983246217,space,0.377429839289,space,0.377015770915,space,0.343709910565,space,0.360386326978,j,1,2.83194468457,SPR,li,B,,male,59.1344800456,001,2016_04_28_1608,
表姐熟識的院士解釋了理論,表姐解釋了理論？,解釋了,院士,理論,表姐,的,j,熟識,12,2,24,0,8,8,7,space,0.426797921209,space,0.360012915458,space,0.343657806628,space,0.359292144385,space,0.272090291379,space,0.378354289376,space,0.416260690188,j,1,1.88378928222,SPR,li,B,,male,59.1344800456,001,2016_04_28_1608,
資助航海家的演員擔任了主角,演員當上了主角？,擔任了,演員,主角,資助,的,f,航海家,13,1,51,0,9,9,10,space,0.443431312411,space,0.413154979993,space,0.39368508225,space,0.362016548526,space,0.360240278078,space,0.382149192508,space,0.37910466496,f,1,2.05125329696,SPR,li,B,,male,59.1344800456,001,2016_04_28_1608,
